source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
special1,double,numeric,,SPEC. TOUGH INST. REPEAT CH'D OFF. (Q14),F9.2,,,TRUE,Retained
special2,double,numeric,,SPEC. TOUGH INST. REPEAT CH'D OF. (QQ14),F9.2,,,TRUE,Retained
ageadlt1,double,numeric,,WHAT AGE YOUNG OFF. ADULS SENT. (Q15),F9.2,,,TRUE,Retained
ageadlt2,double,numeric,,WHAT AGE YOUNG OFF. ADULS SENT. (QQ15),F9.2,,,TRUE,Retained
lrunemp1,double,numeric,,REDUCE UNEMPLOY AND POVERTY (Q2A),F9.2,,,TRUE,Retained
lrunemp2,double,numeric,,REDUCE UNEMPLOY AND POVERTY (QQ2A),F9.2,,,TRUE,Retained
rstiff1,double,numeric,,STIFFER SENTENC. AND MORE PRISONS (Q2B),F9.2,,,TRUE,Retained
rstiff2,double,numeric,,STIFFER SENTENC. AND MORE PRISONS (QQ2B),F9.2,,,TRUE,Retained
rtime1,double,numeric,,PARENTS MORE TIME WITH CHILDREN (Q2C),F9.2,,,TRUE,Retained
rtime2,double,numeric,,PARENTS MORE TIME WITH CHILDREN (QQ2C),F9.2,,,TRUE,Retained
rpolice1,double,numeric,,POLICE MORE POWERS TO CATCH CRIM. (Q2D),F9.2,,,TRUE,Retained
rpolice2,double,numeric,,POLICE MORE POWERS TO CATCH CRIM. (QQ2D),F9.2,,,TRUE,Retained
rschl1,double,numeric,,SCHOOLS RESPON. FOR MORAL GUIDANCE (Q2E),F9.2,,,TRUE,Retained
rschl2,double,numeric,,SCHOOLS RESPON. MORAL GUIDANCE (QQ2E),F9.2,,,TRUE,Retained
rpovety1,double,numeric,,PEOPLE MORE RESPON. FOR PORPERTY (Q2F),F9.2,,,TRUE,Retained
rpovety2,double,numeric,,PEOPLE MORE RESPON. FOR PORPERTY (QQ2F),F9.2,,,TRUE,Retained
drugsce1,double,numeric,,ILLEGAL DRUGS MAJOR CRIME CAUSE (Q4),F9.2,,,TRUE,Retained
drugsce2,double,numeric,,ILLEGAL DRUGS MAJOR CRIME CAUSE (QQ4),F9.2,,,TRUE,Retained
prtoo1,double,numeric,,PRISON LIFE TOO SOFT/TOUGH (Q10),F9.2,,,TRUE,Retained
prtoo2,double,numeric,,PRISON LIFE TOO SOFT/TOUGH (QQ10),F9.2,,,TRUE,Retained
prhard1,double,numeric,,PRISON HARDENS CRIMINALS (Q11),F9.2,,,TRUE,Retained
prhard2,double,numeric,,PRISON HARDENS CRIMINALS (QQ11),F9.2,,,TRUE,Retained
lfact11,double,numeric,,DEATH SENTENCE IN BRITAIN?,F9.2,,,TRUE,Retained
lfact12,double,numeric,,DEATH SENTENCE IN BRITAIN?,F9.2,,,TRUE,Retained
lfact21,double,numeric,,BRITAIN LARGEST PRISON POPULATION,F9.2,,,TRUE,Retained
lfact22,double,numeric,,BRITAIN LARGEST PRISON POPULATION,F9.2,,,TRUE,Retained
lfact31,double,numeric,,BRITAIN MORE LIFE SENTENCES,F9.2,,,TRUE,Retained
lfact32,double,numeric,,BRITAIN MORE LIFE SENTENCES,F9.2,,,TRUE,Retained
lfact41,double,numeric,,JURY TRIAL IN LOCAL MAGISTRATE'S COURT?,F9.2,,,TRUE,Retained
lfact42,double,numeric,,JURY TRIAL IN LOCAL MAGISTRATE'S COURT?,F9.2,,,TRUE,Retained
lk1,double,numeric,,(LFACT11+LFACT21+LFACT31+LFACT41):4,F9.2,,,TRUE,Retained
lk2,double,numeric,,(LFACT12+LFACT22+LFACT32+LFACT42):4,F9.2,,,TRUE,Retained
pfact11,double,numeric,,NUMBER OF MP'S ABOUT 100?,F9.2,,,TRUE,Retained
pfact12,double,numeric,,NUMBER OF MP'S ABOUT 100?,F9.2,,,TRUE,Retained
pfact21,double,numeric,,MAX 4 YRS. BETWEEN GENERAL ELECTIONS?,F9.2,,,TRUE,Retained
pfact22,double,numeric,,MAX 4 YRS. BETWEEN GENERAL ELECTIONS?,F9.2,,,TRUE,Retained
pfact31,double,numeric,,BRITAIN HAS PROPORTIONAL REPRESENTATION?,F9.2,,,TRUE,Retained
pfact32,double,numeric,,BRITAIN HAS PROPORTIONAL REPRESENTATION?,F9.2,,,TRUE,Retained
pfact41,double,numeric,,NOT ELECTORAL REGISTER IN TWO DIFF. PLAC,F9.2,,,TRUE,Retained
pfact42,double,numeric,,NOT ELECTORAL REGISTER IN TWO DIFF. PLAC,F9.2,,,TRUE,Retained
pk1,double,numeric,,(PFACT11+PFACT21+PFACT31+PFACT41):4,F9.2,,,TRUE,Retained
pk2,double,numeric,,(PFACT12+PFACT22+PFACT32+PFACT42):4,F9.2,,,TRUE,Retained
partint,double,numeric,,HOW INTERESTING TAKING PART (QQ20),F9.2,,,TRUE,Retained
partenj,double,numeric,,HOW ENJOYABLE (Q21),F9.2,,,TRUE,Retained
partlrn,double,numeric,,HOW MUCH HAVE YOU LEARNED (Q22),F9.2,,,TRUE,Retained
class,double,numeric,,`CLASS',F9.2,,,TRUE,Retained
segful,double,numeric,,"SOCIO-ECONOMIC GROUP, FULL BREAKDOWN",F9.2,,,TRUE,Retained
seg,double,numeric,,SOCIO-ECONOMIC GROUP,F9.2,,,TRUE,Retained
unempl3,double,numeric,,REDUCE UNEMPLOYMENT (QD1A),F9.2,,,TRUE,Retained
violtv3,double,numeric,,REDUCE TV VIOLENCE AND CRIME (QD1B),F9.2,,,TRUE,Retained
propsec3,double,numeric,,MAKE PROPERTY MORE SECURE (QD1C),F9.2,,,TRUE,Retained
timchld3,double,numeric,,SPEND MORE TIME W. CHILDREN (QD1D),F9.2,,,TRUE,Retained
watch3,double,numeric,,MORE NEIGHBORHOOD WATCH SCHEMES (QD1E),F9.2,,,TRUE,Retained
tchrt3,double,numeric,,TEACH CHILDREN RIGHT FROM WRONG (QD1F),F9.2,,,TRUE,Retained
morprsn3,double,numeric,,MORE OFFENDERS TO PRISON (QD1G),F9.2,,,TRUE,Retained
schdisc3,double,numeric,,FIRMER SCHOOL DISCIPLINE (QD1H),F9.2,,,TRUE,Retained
stiffer3,double,numeric,,STIFFER SENTENCES GENERALLY (QD1I),F9.2,,,TRUE,Retained
morecop3,double,numeric,,MORE POLICE ON THE BEAT (QD1J),F9.2,,,TRUE,Retained
lrunemp3,double,numeric,,REDUCE UNEMPLOY AND POVERTY (QD2A),F9.2,,,TRUE,Retained
rstiff3,double,numeric,,STIFFER SENTENC. AND MORE PRISONS (QD2B),F9.2,,,TRUE,Retained
rtime3,double,numeric,,PARENTS MORE TIME WITH CHILDREN (QD2C),F9.2,,,TRUE,Retained
rpolice3,double,numeric,,POLICE MORE POWERS TO CATCH CRIM. (QD2D),F9.2,,,TRUE,Retained
rschl3,double,numeric,,SCHOOLS RESPON. MORAL GUIDANCE (QD2E),F9.2,,,TRUE,Retained
rpovety3,double,numeric,,PEOPLE MORE RESPON. FOR PORPERTY (QD2F),F9.2,,,TRUE,Retained
patrols3,double,numeric,,PUBLIC MORE ACTIVE: STREET PATROLS (QD3),F9.2,,,TRUE,Retained
drugsce3,double,numeric,,ILLEGAL DRUGS MAJOR CRIME CAUSE (QD4),F9.2,,,TRUE,Retained
legsoft3,double,numeric,,LEGALIZE SOFT DRUGS (QD5),F9.2,,,TRUE,Retained
fewjury3,double,numeric,,FEWER JURY TRIALS (QD6A),F9.2,,,TRUE,Retained
confess3,double,numeric,,CONFESSIONS ALONE NOT CONVICT (QD6B),F9.2,,,TRUE,Retained
ctrules3,double,numeric,,COURT RULES LESS ON SIDE ACCUSED (QD6C),F9.2,,,TRUE,Retained
presum3,double,numeric,,END PRESUMPTION OF INNOCENCE (QD6D),F9.2,,,TRUE,Retained
rtsil3,double,numeric,,RIGHT TO SILENCE (QD7A),F9.2,,,TRUE,Retained
mentsil3,double,numeric,,SILENCE MENTIONABLE IN COURT (QD7B),F9.2,,,TRUE,Retained
copgun3,double,numeric,,ON-DUTY POLICE CARRY GUNS (QD7C),F9.2,,,TRUE,Retained
compl3,double,numeric,,INDEP. INVESTIG. POLICE COMPLAIN (QD7D),F9.2,,,TRUE,Retained
copbend3,double,numeric,,POLICE ALLOWED TO BEND RULES (QD7E),F9.2,,,TRUE,Retained
fewpris3,double,numeric,,FEWER PEOPLE TO PRISON (QD8A),F9.2,,,TRUE,Retained
