legacy_field,definition_version,caseid,source_row,historical_value,approved_value
ppage,nic-08-v3,10006200,342,1947,47
meanage,nic-08-v3,10006200,342,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10006200,342,1,0
ppage,nic-08-v3,10006220,343,1946,46
meanage,nic-08-v3,10006220,343,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10006220,343,1,0
ppage,nic-08-v3,10006280,346,1931,31
meanage,nic-08-v3,10006280,346,1943.6875,43.6875
mode,nic-03-v2,10006280,346,1,0
ppage,nic-08-v3,10006310,349,1930,30
meanage,nic-08-v3,10006310,349,1938.4,38.4
mode,nic-03-v2,10006310,349,1,0
ppage,nic-08-v3,10006320,350,1935,35
meanage,nic-08-v3,10006320,350,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10006320,350,1,0
ppage,nic-08-v3,10006330,351,1932,32
meanage,nic-08-v3,10006330,351,1938.2,38.2
mode,nic-03-v2,10006330,351,1,0
ppage,nic-08-v3,10006340,352,1930,30
meanage,nic-08-v3,10006340,352,1946,46
mode,nic-03-v2,10006340,352,1,0
ppage,nic-08-v3,10006350,353,1920,20
meanage,nic-08-v3,10006350,353,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10006350,353,1,0
ppage,nic-08-v3,10006360,354,1960,60
meanage,nic-08-v3,10006360,354,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10006360,354,1,0
ppage,nic-08-v3,10006390,357,1941,41
meanage,nic-08-v3,10006390,357,1942,42
mode,nic-03-v2,10006390,357,1,0
ppage,nic-08-v3,10006400,358,1952,52
meanage,nic-08-v3,10006400,358,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10006400,358,1,0
ppage,nic-08-v3,10006430,363,1933,33
meanage,nic-08-v3,10006430,363,1941.3529411764705,43.8125
mode,nic-03-v2,10006430,363,1,0
ppage,nic-08-v3,10006500,367,1937,37
meanage,nic-08-v3,10006500,367,1947,47
mode,nic-03-v2,10006500,367,1,0
ppage,nic-08-v3,10006510,368,1933,33
meanage,nic-08-v3,10006510,368,1938.4,38.4
mode,nic-03-v2,10006510,368,1,0
ppage,nic-08-v3,10006540,370,1956,56
meanage,nic-08-v3,10006540,370,1938.4,38.4
mode,nic-03-v2,10006540,370,1,0
ppage,nic-08-v3,10006580,371,1942,42
meanage,nic-08-v3,10006580,371,1941.3529411764705,43.8125
mode,nic-03-v2,10006580,371,1,0
ppage,nic-08-v3,10006620,372,1969,69
meanage,nic-08-v3,10006620,372,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10006620,372,1,0
ppage,nic-08-v3,10006660,374,1962,62
meanage,nic-08-v3,10006660,374,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10006660,374,1,0
ppage,nic-08-v3,10006700,376,1937,37
meanage,nic-08-v3,10006700,376,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10006700,376,1,0
ppage,nic-08-v3,10006710,377,1967,67
meanage,nic-08-v3,10006710,377,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10006710,377,1,0
ppage,nic-08-v3,10006740,379,1920,20
meanage,nic-08-v3,10006740,379,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10006740,379,1,0
ppage,nic-08-v3,10006760,380,1942,42
meanage,nic-08-v3,10006760,380,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10006760,380,1,0
ppage,nic-08-v3,10006780,382,1970,70
meanage,nic-08-v3,10006780,382,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10006780,382,1,0
ppage,nic-08-v3,10006790,383,1951,51
meanage,nic-08-v3,10006790,383,1945.076923076923,45.07692307692308
mode,nic-03-v2,10006790,383,1,0
ppage,nic-08-v3,10006800,384,1969,69
meanage,nic-08-v3,10006800,384,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10006800,384,1,0
ppage,nic-08-v3,10006880,390,1936,36
meanage,nic-08-v3,10006880,390,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10006880,390,1,0
ppage,nic-08-v3,10006900,392,1949,49
meanage,nic-08-v3,10006900,392,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10006900,392,1,0
ppage,nic-08-v3,10006920,394,1921,21
meanage,nic-08-v3,10006920,394,1946,46
mode,nic-03-v2,10006920,394,1,0
ppage,nic-08-v3,10006930,395,1926,26
meanage,nic-08-v3,10006930,395,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10006930,395,1,0
ppage,nic-08-v3,10006960,398,1933,33
meanage,nic-08-v3,10006960,398,1946.6,46.6
mode,nic-03-v2,10006960,398,1,0
ppage,nic-08-v3,10007010,401,1956,56
meanage,nic-08-v3,10007010,401,1941.3529411764705,43.8125
mode,nic-03-v2,10007010,401,1,0
ppage,nic-08-v3,10007140,410,1966,66
meanage,nic-08-v3,10007140,410,1947,47
mode,nic-03-v2,10007140,410,1,0
ppage,nic-08-v3,10007160,411,1939,39
meanage,nic-08-v3,10007160,411,1947,47
mode,nic-03-v2,10007160,411,1,0
ppage,nic-08-v3,10007170,412,1935,35
meanage,nic-08-v3,10007170,412,1943.6875,43.6875
mode,nic-03-v2,10007170,412,1,0
ppage,nic-08-v3,10007180,413,1970,70
meanage,nic-08-v3,10007180,413,1942,42
mode,nic-03-v2,10007180,413,1,0
ppage,nic-08-v3,10007190,414,1970,70
meanage,nic-08-v3,10007190,414,1938.2,38.2
mode,nic-03-v2,10007190,414,1,0
ppage,nic-08-v3,10007210,416,1934,34
meanage,nic-08-v3,10007210,416,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10007210,416,1,0
ppage,nic-08-v3,10007220,417,1938,38
meanage,nic-08-v3,10007220,417,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10007220,417,1,0
ppage,nic-08-v3,10007250,418,1939,39
meanage,nic-08-v3,10007250,418,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10007250,418,1,0
ppage,nic-08-v3,10007390,426,1927,27
meanage,nic-08-v3,10007390,426,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10007390,426,1,0
ppage,nic-08-v3,10007410,428,1935,35
meanage,nic-08-v3,10007410,428,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10007410,428,1,0
ppage,nic-08-v3,10007430,430,1971,71
meanage,nic-08-v3,10007430,430,1941.5,41.5
mode,nic-03-v2,10007430,430,1,0
ppage,nic-08-v3,10007450,432,1941,41
meanage,nic-08-v3,10007450,432,1941.3529411764705,43.8125
mode,nic-03-v2,10007450,432,1,0
ppage,nic-08-v3,10007471,435,1946,46
meanage,nic-08-v3,10007471,435,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10007471,435,1,0
ppage,nic-08-v3,10007520,438,1929,29
meanage,nic-08-v3,10007520,438,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10007520,438,1,0
ppage,nic-08-v3,10007570,443,1949,49
meanage,nic-08-v3,10007570,443,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10007570,443,1,0
ppage,nic-08-v3,10007580,444,1927,27
meanage,nic-08-v3,10007580,444,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10007580,444,1,0
ppage,nic-08-v3,10007590,445,1989,29
meanage,nic-08-v3,10007590,445,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10007590,445,1,0
ppage,nic-08-v3,10007620,447,1939,39
meanage,nic-08-v3,10007620,447,1947,47
mode,nic-03-v2,10007620,447,1,0
ppage,nic-08-v3,10007640,448,1981,81
meanage,nic-08-v3,10007640,448,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10007640,448,1,0
ppage,nic-08-v3,10007710,451,1953,53
meanage,nic-08-v3,10007710,451,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10007710,451,1,0
ppage,nic-08-v3,10007720,452,1945,45
meanage,nic-08-v3,10007720,452,1941.3529411764705,43.8125
mode,nic-03-v2,10007720,452,1,0
ppage,nic-08-v3,10007730,453,1938,38
meanage,nic-08-v3,10007730,453,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10007730,453,1,0
ppage,nic-08-v3,10007750,454,1939,39
meanage,nic-08-v3,10007750,454,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10007750,454,1,0
ppage,nic-08-v3,10007760,455,1922,22
meanage,nic-08-v3,10007760,455,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10007760,455,1,0
ppage,nic-08-v3,10007780,457,1927,27
meanage,nic-08-v3,10007780,457,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10007780,457,1,0
ppage,nic-08-v3,10007840,461,1934,34
meanage,nic-08-v3,10007840,461,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10007840,461,1,0
ppage,nic-08-v3,10007860,462,1959,59
meanage,nic-08-v3,10007860,462,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10007860,462,1,0
ppage,nic-08-v3,10007960,469,1941,41
meanage,nic-08-v3,10007960,469,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10007960,469,1,0
ppage,nic-08-v3,10008030,472,1944,44
meanage,nic-08-v3,10008030,472,1946.6,46.6
mode,nic-03-v2,10008030,472,1,0
ppage,nic-08-v3,10008050,474,1949,49
meanage,nic-08-v3,10008050,474,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10008050,474,1,0
ppage,nic-08-v3,10008060,475,1925,25
meanage,nic-08-v3,10008060,475,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10008060,475,1,0
ppage,nic-08-v3,10008070,476,1928,28
meanage,nic-08-v3,10008070,476,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10008070,476,1,0
ppage,nic-08-v3,10008080,477,1960,60
meanage,nic-08-v3,10008080,477,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10008080,477,1,0
ppage,nic-08-v3,10008090,478,1937,37
meanage,nic-08-v3,10008090,478,1942,42
mode,nic-03-v2,10008090,478,1,0
ppage,nic-08-v3,10008110,480,1979,79
meanage,nic-08-v3,10008110,480,1946.6,46.6
mode,nic-03-v2,10008110,480,1,0
ppage,nic-08-v3,10008120,481,1981,81
meanage,nic-08-v3,10008120,481,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10008120,481,1,0
ppage,nic-08-v3,10008130,482,1926,26
meanage,nic-08-v3,10008130,482,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10008130,482,1,0
ppage,nic-08-v3,10008150,484,1919,19
meanage,nic-08-v3,10008150,484,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10008150,484,1,0
ppage,nic-08-v3,10008210,488,1955,55
meanage,nic-08-v3,10008210,488,1946,46
mode,nic-03-v2,10008210,488,1,0
ppage,nic-08-v3,10008220,489,1938,38
meanage,nic-08-v3,10008220,489,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10008220,489,1,0
ppage,nic-08-v3,10008240,491,1936,36
meanage,nic-08-v3,10008240,491,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10008240,491,1,0
ppage,nic-08-v3,10008260,492,1938,38
meanage,nic-08-v3,10008260,492,1946.6,46.6
mode,nic-03-v2,10008260,492,1,0
ppage,nic-08-v3,10008310,494,1930,30
meanage,nic-08-v3,10008310,494,1942,42
mode,nic-03-v2,10008310,494,1,0
ppage,nic-08-v3,10008320,495,1926,26
meanage,nic-08-v3,10008320,495,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10008320,495,1,0
ppage,nic-08-v3,10008350,496,1970,70
meanage,nic-08-v3,10008350,496,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10008350,496,1,0
ppage,nic-08-v3,10008380,499,1932,32
meanage,nic-08-v3,10008380,499,1938.4,38.4
mode,nic-03-v2,10008380,499,1,0
ppage,nic-08-v3,10008400,500,1949,49
meanage,nic-08-v3,10008400,500,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10008400,500,1,0
ppage,nic-08-v3,10008420,501,1962,62
meanage,nic-08-v3,10008420,501,1946,46
mode,nic-03-v2,10008420,501,1,0
ppage,nic-08-v3,10008430,502,1928,28
meanage,nic-08-v3,10008430,502,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10008430,502,1,0
ppage,nic-08-v3,10008440,503,1929,29
meanage,nic-08-v3,10008440,503,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10008440,503,1,0
ppage,nic-08-v3,10008450,504,1932,32
meanage,nic-08-v3,10008450,504,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10008450,504,1,0
ppage,nic-08-v3,10008451,505,1934,34
meanage,nic-08-v3,10008451,505,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10008451,505,1,0
ppage,nic-08-v3,10008460,506,1945,45
meanage,nic-08-v3,10008460,506,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10008460,506,1,0
ppage,nic-08-v3,10008580,510,1939,39
meanage,nic-08-v3,10008580,510,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10008580,510,1,0
ppage,nic-08-v3,10008590,511,1957,57
meanage,nic-08-v3,10008590,511,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10008590,511,1,0
ppage,nic-08-v3,10008640,515,1943,43
meanage,nic-08-v3,10008640,515,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10008640,515,1,0
ppage,nic-08-v3,10008660,516,1937,37
meanage,nic-08-v3,10008660,516,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10008660,516,1,0
ppage,nic-08-v3,10008690,519,1966,66
meanage,nic-08-v3,10008690,519,1942,42
mode,nic-03-v2,10008690,519,1,0
ppage,nic-08-v3,10008710,520,1953,53
meanage,nic-08-v3,10008710,520,1945.076923076923,45.07692307692308
mode,nic-03-v2,10008710,520,1,0
ppage,nic-08-v3,10008740,523,1901,
meanage,nic-08-v3,10008740,523,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10008740,523,1,0
ppage,nic-08-v3,10008750,524,1935,35
meanage,nic-08-v3,10008750,524,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10008750,524,1,0
ppage,nic-08-v3,10008780,526,1902,
meanage,nic-08-v3,10008780,526,1941.3529411764705,43.8125
mode,nic-03-v2,10008780,526,1,0
ppage,nic-08-v3,10008840,528,1937,37
meanage,nic-08-v3,10008840,528,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10008840,528,1,0
ppage,nic-08-v3,10008890,531,1967,67
meanage,nic-08-v3,10008890,531,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10008890,531,1,0
ppage,nic-08-v3,10008930,535,1937,37
meanage,nic-08-v3,10008930,535,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10008930,535,1,0
ppage,nic-08-v3,10008940,536,1944,44
meanage,nic-08-v3,10008940,536,1946.8125,46.8125
mode,nic-03-v2,10008940,536,1,0
ppage,nic-08-v3,10009000,540,1938,38
meanage,nic-08-v3,10009000,540,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10009000,540,1,0
ppage,nic-08-v3,10009030,543,1928,28
meanage,nic-08-v3,10009030,543,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10009030,543,1,0
ppage,nic-08-v3,10009090,546,1942,42
meanage,nic-08-v3,10009090,546,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10009090,546,1,0
ppage,nic-08-v3,10009150,547,1971,71
meanage,nic-08-v3,10009150,547,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10009150,547,1,0
ppage,nic-08-v3,10009180,549,1951,51
meanage,nic-08-v3,10009180,549,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10009180,549,1,0
ppage,nic-08-v3,10009251,553,1933,33
meanage,nic-08-v3,10009251,553,1946,46
mode,nic-03-v2,10009251,553,1,0
ppage,nic-08-v3,10009390,563,1937,37
meanage,nic-08-v3,10009390,563,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10009390,563,1,0
ppage,nic-08-v3,10009440,564,1929,29
meanage,nic-08-v3,10009440,564,1941.3529411764705,43.8125
mode,nic-03-v2,10009440,564,1,0
ppage,nic-08-v3,10009460,565,1921,21
meanage,nic-08-v3,10009460,565,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10009460,565,1,0
ppage,nic-08-v3,10009520,567,1926,26
meanage,nic-08-v3,10009520,567,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10009520,567,1,0
ppage,nic-08-v3,10009530,568,1926,26
meanage,nic-08-v3,10009530,568,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10009530,568,1,0
ppage,nic-08-v3,10009590,572,1953,53
meanage,nic-08-v3,10009590,572,1941.5,41.5
mode,nic-03-v2,10009590,572,1,0
ppage,nic-08-v3,10009630,574,1925,25
meanage,nic-08-v3,10009630,574,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10009630,574,1,0
ppage,nic-08-v3,10009650,576,1969,69
meanage,nic-08-v3,10009650,576,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10009650,576,1,0
ppage,nic-08-v3,10009670,578,1932,32
meanage,nic-08-v3,10009670,578,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10009670,578,1,0
ppage,nic-08-v3,10009750,583,1945,45
meanage,nic-08-v3,10009750,583,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10009750,583,1,0
ppage,nic-08-v3,10009810,587,1928,28
meanage,nic-08-v3,10009810,587,1938.4,38.4
mode,nic-03-v2,10009810,587,1,0
ppage,nic-08-v3,10009840,590,1921,21
meanage,nic-08-v3,10009840,590,1938.4,38.4
mode,nic-03-v2,10009840,590,1,0
ppage,nic-08-v3,10009870,592,1970,70
meanage,nic-08-v3,10009870,592,1946,46
mode,nic-03-v2,10009870,592,1,0
ppage,nic-08-v3,10009970,599,1947,47
meanage,nic-08-v3,10009970,599,1941.5,41.5
mode,nic-03-v2,10009970,599,1,0
ppage,nic-08-v3,10009990,600,1951,51
meanage,nic-08-v3,10009990,600,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10009990,600,1,0
ppage,nic-08-v3,10010000,601,1949,49
meanage,nic-08-v3,10010000,601,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10010000,601,1,0
ppage,nic-08-v3,10010030,603,1921,21
meanage,nic-08-v3,10010030,603,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10010030,603,1,0
ppage,nic-08-v3,10010060,604,1956,56
meanage,nic-08-v3,10010060,604,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10010060,604,1,0
ppage,nic-08-v3,10010080,605,1934,34
meanage,nic-08-v3,10010080,605,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10010080,605,1,0
ppage,nic-08-v3,10010110,606,1968,68
meanage,nic-08-v3,10010110,606,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10010110,606,1,0
ppage,nic-08-v3,10010120,607,1925,25
meanage,nic-08-v3,10010120,607,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10010120,607,1,0
ppage,nic-08-v3,10010140,609,1930,30
meanage,nic-08-v3,10010140,609,1941.5,41.5
mode,nic-03-v2,10010140,609,1,0
ppage,nic-08-v3,10010160,611,1926,26
meanage,nic-08-v3,10010160,611,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10010160,611,1,0
ppage,nic-08-v3,10010180,612,1930,30
meanage,nic-08-v3,10010180,612,1943.6875,43.6875
mode,nic-03-v2,10010180,612,1,0
ppage,nic-08-v3,10010200,613,1950,50
meanage,nic-08-v3,10010200,613,1941.3529411764705,43.8125
mode,nic-03-v2,10010200,613,1,0
ppage,nic-08-v3,10010210,614,1960,60
meanage,nic-08-v3,10010210,614,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10010210,614,1,0
ppage,nic-08-v3,10010220,615,1959,59
meanage,nic-08-v3,10010220,615,1943.6875,43.6875
mode,nic-03-v2,10010220,615,1,0
ppage,nic-08-v3,10010230,616,1940,40
meanage,nic-08-v3,10010230,616,1938.2,38.2
mode,nic-03-v2,10010230,616,1,0
ppage,nic-08-v3,10010250,618,1939,39
meanage,nic-08-v3,10010250,618,1945.076923076923,45.07692307692308
mode,nic-03-v2,10010250,618,1,0
ppage,nic-08-v3,10010280,619,1944,44
meanage,nic-08-v3,10010280,619,1938.4,38.4
mode,nic-03-v2,10010280,619,1,0
ppage,nic-08-v3,10010330,621,1938,38
meanage,nic-08-v3,10010330,621,1946.8125,46.8125
mode,nic-03-v2,10010330,621,1,0
ppage,nic-08-v3,10010340,622,1943,43
meanage,nic-08-v3,10010340,622,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10010340,622,1,0
ppage,nic-08-v3,10010360,624,1938,38
meanage,nic-08-v3,10010360,624,1947,47
mode,nic-03-v2,10010360,624,1,0
ppage,nic-08-v3,10010390,625,1939,39
meanage,nic-08-v3,10010390,625,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10010390,625,1,0
ppage,nic-08-v3,10010520,632,1922,22
meanage,nic-08-v3,10010520,632,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10010520,632,1,0
ppage,nic-08-v3,10010550,635,1941,41
meanage,nic-08-v3,10010550,635,1946.6,46.6
mode,nic-03-v2,10010550,635,1,0
ppage,nic-08-v3,10010580,638,1935,35
meanage,nic-08-v3,10010580,638,1942,42
mode,nic-03-v2,10010580,638,1,0
ppage,nic-08-v3,10010600,639,1949,49
meanage,nic-08-v3,10010600,639,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10010600,639,1,0
ppage,nic-08-v3,10010620,641,1940,40
meanage,nic-08-v3,10010620,641,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10010620,641,1,0
ppage,nic-08-v3,10010630,642,1920,20
meanage,nic-08-v3,10010630,642,1946.8125,46.8125
mode,nic-03-v2,10010630,642,1,0
ppage,nic-08-v3,10010640,643,1919,19
meanage,nic-08-v3,10010640,643,1947,47
mode,nic-03-v2,10010640,643,1,0
ppage,nic-08-v3,10010650,644,1956,56
meanage,nic-08-v3,10010650,644,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10010650,644,1,0
ppage,nic-08-v3,10010660,645,1952,52
meanage,nic-08-v3,10010660,645,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10010660,645,1,0
ppage,nic-08-v3,10010690,646,1941,41
meanage,nic-08-v3,10010690,646,1943.6875,43.6875
mode,nic-03-v2,10010690,646,1,0
ppage,nic-08-v3,10010700,647,1943,43
meanage,nic-08-v3,10010700,647,1938.2,38.2
mode,nic-03-v2,10010700,647,1,0
ppage,nic-08-v3,10010710,648,1981,81
meanage,nic-08-v3,10010710,648,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10010710,648,1,0
ppage,nic-08-v3,10010720,649,1951,51
meanage,nic-08-v3,10010720,649,1945.076923076923,45.07692307692308
mode,nic-03-v2,10010720,649,1,0
ppage,nic-08-v3,10010730,650,1970,70
meanage,nic-08-v3,10010730,650,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10010730,650,1,0
ppage,nic-08-v3,10010760,652,1931,31
meanage,nic-08-v3,10010760,652,1938.2,38.2
mode,nic-03-v2,10010760,652,1,0
ppage,nic-08-v3,10010770,653,1925,25
meanage,nic-08-v3,10010770,653,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10010770,653,1,0
ppage,nic-08-v3,10010850,654,1949,49
meanage,nic-08-v3,10010850,654,1938.4,38.4
mode,nic-03-v2,10010850,654,1,0
ppage,nic-08-v3,10010870,656,1930,30
meanage,nic-08-v3,10010870,656,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10010870,656,1,0
ppage,nic-08-v3,10010960,660,1949,49
meanage,nic-08-v3,10010960,660,1946.6,46.6
mode,nic-03-v2,10010960,660,1,0
ppage,nic-08-v3,10011020,664,1947,47
meanage,nic-08-v3,10011020,664,1941.3529411764705,43.8125
mode,nic-03-v2,10011020,664,1,0
ppage,nic-08-v3,10011030,665,1949,49
meanage,nic-08-v3,10011030,665,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10011030,665,1,0
ppage,nic-08-v3,10011040,666,1943,43
meanage,nic-08-v3,10011040,666,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10011040,666,1,0
ppage,nic-08-v3,10011120,672,1960,60
meanage,nic-08-v3,10011120,672,1938.2,38.2
mode,nic-03-v2,10011120,672,1,0
ppage,nic-08-v3,10011130,673,1946,46
meanage,nic-08-v3,10011130,673,1945.076923076923,45.07692307692308
mode,nic-03-v2,10011130,673,1,0
ppage,nic-08-v3,10011150,674,1923,23
meanage,nic-08-v3,10011150,674,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10011150,674,1,0
ppage,nic-08-v3,10011180,676,1921,21
meanage,nic-08-v3,10011180,676,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10011180,676,1,0
ppage,nic-08-v3,10011200,677,1955,55
meanage,nic-08-v3,10011200,677,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10011200,677,1,0
ppage,nic-08-v3,10011210,678,1938,38
meanage,nic-08-v3,10011210,678,1947,47
mode,nic-03-v2,10011210,678,1,0
ppage,nic-08-v3,10011220,679,1933,33
meanage,nic-08-v3,10011220,679,1946.8125,46.8125
mode,nic-03-v2,10011220,679,1,0
ppage,nic-08-v3,10011230,680,1938,38
meanage,nic-08-v3,10011230,680,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10011230,680,1,0
ppage,nic-08-v3,10011240,681,1944,44
meanage,nic-08-v3,10011240,681,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10011240,681,1,0
ppage,nic-08-v3,10011310,682,1936,36
meanage,nic-08-v3,10011310,682,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10011310,682,1,0
ppage,nic-08-v3,10011320,683,1939,39
meanage,nic-08-v3,10011320,683,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10011320,683,1,0
ppage,nic-08-v3,10011330,684,1939,39
meanage,nic-08-v3,10011330,684,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10011330,684,1,0
ppage,nic-08-v3,10011370,686,1925,25
meanage,nic-08-v3,10011370,686,1945.076923076923,45.07692307692308
mode,nic-03-v2,10011370,686,1,0
ppage,nic-08-v3,10011430,687,1921,21
meanage,nic-08-v3,10011430,687,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10011430,687,1,0
ppage,nic-08-v3,10011440,688,1936,36
meanage,nic-08-v3,10011440,688,1942,42
mode,nic-03-v2,10011440,688,1,0
ppage,nic-08-v3,10011450,689,1925,25
meanage,nic-08-v3,10011450,689,1938.4,38.4
mode,nic-03-v2,10011450,689,1,0
ppage,nic-08-v3,10011470,691,1900,
meanage,nic-08-v3,10011470,691,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10011470,691,1,0
ppage,nic-08-v3,10011490,692,1940,40
meanage,nic-08-v3,10011490,692,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10011490,692,1,0
ppage,nic-08-v3,10011500,693,1935,35
meanage,nic-08-v3,10011500,693,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10011500,693,1,0
ppage,nic-08-v3,10011510,694,1944,44
meanage,nic-08-v3,10011510,694,1938.4,38.4
mode,nic-03-v2,10011510,694,1,0
ppage,nic-08-v3,10011520,695,1947,47
meanage,nic-08-v3,10011520,695,1942,42
mode,nic-03-v2,10011520,695,1,0
ppage,nic-08-v3,10011550,697,1937,37
meanage,nic-08-v3,10011550,697,1938.4,38.4
mode,nic-03-v2,10011550,697,1,0
ppage,nic-08-v3,10011560,698,1944,44
meanage,nic-08-v3,10011560,698,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10011560,698,1,0
ppage,nic-08-v3,10011580,700,1930,30
meanage,nic-08-v3,10011580,700,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10011580,700,1,0
ppage,nic-08-v3,10011630,705,1933,33
meanage,nic-08-v3,10011630,705,1942,42
mode,nic-03-v2,10011630,705,1,0
