legacy_field,caseid,historical_value,approved_value
attextreme,30000760,1.1965986394557799,0.29659863945578235
attextreme,30000770,0.52448979591836697,0.19591836734693877
attextreme,30000780,0.95714285714285696,0.31428571428571433
attextreme,30000790,0.74489795918367396,0.2591836734693877
attextreme,30000800,0.56530612244898004,0.39387755102040817
attextreme,30000810,1.0678004535147401,0.29637188208616783
attextreme,30000820,1.3571428571428601,0.32857142857142857
attextreme,30000830,1.0012471655328801,0.22981859410430841
attextreme,30000840,1.7367346938775501,0.45102040816326527
attextreme,30000850,1.78571428571429,0.5
attextreme,30000860,1.4807256235827699,0.3235827664399093
attextreme,30000870,1.0603174603174601,0.16031746031746033
attextreme,30000880,0.36938775510204103,0.35510204081632651
attextreme,30000890,1.16009070294785,0.26009070294784581
attextreme,30000900,0.83605442176870703,0.1931972789115646
attextreme,30000910,1,0.35714285714285715
attextreme,30000920,0.96530612244897995,0.32244897959183672
attextreme,30000930,1.3804988662131501,0.22335600907029482
attextreme,30000940,0.29841269841269802,0.29841269841269835
attextreme,30000950,1.2290249433106599,0.32902494331065757
attextreme,30000960,1.28571428571429,0.38571428571428573
attextreme,30000970,1.74285714285714,0.45714285714285718
attextreme,30000980,1.75,0.4642857142857143
attextreme,30000990,1.3928571428571399,0.36428571428571427
attextreme,30001000,1.38673469387755,0.35816326530612247
attextreme,30001010,1.2224489795918401,0.32244897959183672
attextreme,30001020,0.83537414965986401,0.1925170068027211
attextreme,30001030,1.0653061224489799,0.29387755102040813
attextreme,30001040,1.12607709750567,0.22607709750566893
attextreme,30001050,1.74285714285714,0.45714285714285718
attextreme,30001060,1.3571428571428601,0.32857142857142857
attextreme,30001070,0.95918367346938804,0.31632653061224492
attextreme,30001080,1.42471655328798,0.39614512471655328
attextreme,30001090,0.58571428571428596,0.25714285714285717
attextreme,30001100,0.91530612244898002,0.27244897959183673
attextreme,30001110,1,0.35714285714285715
attextreme,30001120,1.4417233560090701,0.28458049886621317
attextreme,30001130,1.09342403628118,0.19342403628117916
attextreme,30001140,1.00544217687075,0.10544217687074828
attextreme,30001150,1.6071428571428601,0.45000000000000001
attextreme,30001160,1.7040816326530599,0.41836734693877553
attextreme,30001170,1.4306122448979599,0.27346938775510204
attextreme,30001180,1.2836734693877601,0.25510204081632654
attextreme,30001190,0.94897959183673497,0.30612244897959184
attextreme,30001200,0.86632653061224496,0.22346938775510203
attextreme,30001210,1.71428571428571,0.42857142857142855
attextreme,30001220,0.90612244897959204,0.26326530612244897
attextreme,30001230,1.2984126984127,0.26984126984126983
attextreme,30001240,1.30612244897959,0.27755102040816326
attextreme,30001250,0.81394557823129299,0.17108843537414969
attextreme,30001260,0.75612244897959202,0.11326530612244899
attextreme,30001270,0.84172335600907,0.19886621315192743
attextreme,30001280,0.67165532879818601,0.34308390022675733
attextreme,30001290,1.1433106575963701,0.24331065759637185
attextreme,30001300,0.89693877551020396,0.25408163265306122
attextreme,30001310,0.44897959183673503,0.27755102040816332
attextreme,30001320,1.75714285714286,0.47142857142857142
attextreme,30001330,1.66167800453515,0.37596371882086166
attextreme,30001340,0.82448979591836702,0.18163265306122447
attextreme,30001350,1.4163265306122499,0.38775510204081637
attextreme,30001360,1.71428571428571,0.42857142857142855
attextreme,30001370,1.58843537414966,0.30272108843537415
attextreme,30001380,0.307142857142857,0.30714285714285711
attextreme,30001390,1.53231292517007,0.24659863945578234
attextreme,30001400,0.88548752834467104,0.24263038548752838
attextreme,30001410,0.80657596371882101,0.16371882086167799
attextreme,30001420,1.00873015873016,0.10873015873015872
attextreme,30001430,0.34999999999999998,0.34999999999999998
attextreme,30001440,1.78571428571429,0.5
attextreme,30001450,1.37755102040816,0.22040816326530613
attextreme,30001460,1.6718820861678001,0.38616780045351479
attextreme,30001470,1.1912698412698399,0.29126984126984123
attextreme,30001480,0.871428571428571,0.22857142857142859
attextreme,30001490,0.75147392290249404,0.10861678004535145
attextreme,30001500,0.79795918367346896,0.3122448979591837
attextreme,30001510,0.91428571428571404,0.27142857142857141
attextreme,30001520,1.78571428571429,0.5
attextreme,30001530,0.94489795918367303,0.30204081632653057
attextreme,30001540,1.78571428571429,0.5
attextreme,30001550,1,0.35714285714285715
attextreme,30001560,0.83174603174603201,0.18888888888888888
attextreme,30001570,1.6428571428571399,0.35714285714285715
attextreme,30001580,0.45918367346938799,0.45918367346938777
attextreme,30001590,0.47040816326530599,0.29897959183673473
attextreme,30001600,1.14002267573696,0.24002267573696143
attextreme,30001610,1.2020408163265299,0.30204081632653063
attextreme,30001620,1.71428571428571,0.42857142857142855
attextreme,30001630,1.7453514739228999,0.45963718820861682
attextreme,30001640,1.1181405895691601,0.21814058956916099
attextreme,30001650,1.6571428571428599,0.37142857142857144
attextreme,30001660,1.61904761904762,0.33333333333333337
attextreme,30001670,1.0247165532879801,0.38185941043083904
attextreme,30001680,1.3480725623582801,0.31950113378684808
attextreme,30001690,1.65657596371882,0.37086167800453518
attextreme,30001700,1.4249433106575999,0.3963718820861678
attextreme,30001710,1.37981859410431,0.35124716553287982
attextreme,30001720,1.5,0.21428571428571427
attextreme,30001730,1.2565759637188201,0.35657596371882089
