source_column,source_value,value_label
PRE_Q11g,4,Disagree somewhat
PRE_Q11g,5,Disagree strongly
PRE_Q11g,99,No opinion
PRE_Q11g,998,Skipped
PRE_Q11g,999,T2 only group
PRE_Q12a,1,Favor strongly
PRE_Q12a,2,Favor somewhat
PRE_Q12a,3,Neither favor nor oppose
PRE_Q12a,4,Oppose somewhat
PRE_Q12a,5,Oppose strongly
PRE_Q12a,99,No opinion
PRE_Q12a,998,Skipped
PRE_Q12a,999,T2 only group
PRE_Q12b,1,Favor strongly
PRE_Q12b,2,Favor somewhat
PRE_Q12b,3,Neither favor nor oppose
PRE_Q12b,4,Oppose somewhat
PRE_Q12b,5,Oppose strongly
PRE_Q12b,99,No opinion
PRE_Q12b,998,Skipped
PRE_Q12b,999,T2 only group
PRE_Q12c,1,Favor strongly
PRE_Q12c,2,Favor somewhat
PRE_Q12c,3,Neither favor nor oppose
PRE_Q12c,4,Oppose somewhat
PRE_Q12c,5,Oppose strongly
PRE_Q12c,99,No opinion
PRE_Q12c,998,Skipped
PRE_Q12c,999,T2 only group
PRE_Q12d,1,Favor strongly
PRE_Q12d,2,Favor somewhat
PRE_Q12d,3,Neither favor nor oppose
PRE_Q12d,4,Oppose somewhat
PRE_Q12d,5,Oppose strongly
PRE_Q12d,99,No opinion
PRE_Q12d,998,Skipped
PRE_Q12d,999,T2 only group
PRE_Q13a,0,Completely ineffective0
PRE_Q13a,1,1
PRE_Q13a,2,2
PRE_Q13a,3,3
PRE_Q13a,4,4
PRE_Q13a,5,Neither effective nor ineffective5
PRE_Q13a,6,6
PRE_Q13a,7,7
PRE_Q13a,8,8
PRE_Q13a,9,9
PRE_Q13a,10,Completely effective10
PRE_Q13a,99,No opinion
PRE_Q13a,998,Skipped
PRE_Q13a,999,T2 only group
PRE_Q13b,0,Completely ineffective0
PRE_Q13b,1,1
PRE_Q13b,2,2
PRE_Q13b,3,3
PRE_Q13b,4,4
PRE_Q13b,5,Neither effective nor ineffective5
PRE_Q13b,6,6
PRE_Q13b,7,7
PRE_Q13b,8,8
PRE_Q13b,9,9
PRE_Q13b,10,Completely effective10
PRE_Q13b,99,No opinion
PRE_Q13b,998,Skipped
PRE_Q13b,999,T2 only group
PRE_Q13c,0,Completely ineffective0
PRE_Q13c,1,1
PRE_Q13c,2,2
PRE_Q13c,3,3
PRE_Q13c,4,4
PRE_Q13c,5,Neither effective nor ineffective5
PRE_Q13c,6,6
PRE_Q13c,7,7
PRE_Q13c,8,8
PRE_Q13c,9,9
PRE_Q13c,10,Completely effective10
PRE_Q13c,99,No opinion
PRE_Q13c,998,Skipped
PRE_Q13c,999,T2 only group
PRE_Q13d,0,Completely ineffective0
PRE_Q13d,1,1
PRE_Q13d,2,2
PRE_Q13d,3,3
PRE_Q13d,4,4
PRE_Q13d,5,Neither effective nor ineffective5
PRE_Q13d,6,6
PRE_Q13d,7,7
PRE_Q13d,8,8
PRE_Q13d,9,9
PRE_Q13d,10,Completely effective10
PRE_Q13d,99,No opinion
PRE_Q13d,998,Skipped
PRE_Q13d,999,T2 only group
PRE_Q14x,0,Completely unimportant0
PRE_Q14x,1,1
PRE_Q14x,2,2
PRE_Q14x,3,3
PRE_Q14x,4,4
PRE_Q14x,5,Neither important nor unimportant5
PRE_Q14x,6,6
PRE_Q14x,7,7
PRE_Q14x,8,8
PRE_Q14x,9,9
PRE_Q14x,10,Extremely important10
PRE_Q14x,99,No opinion
PRE_Q14x,998,Skipped
PRE_Q14x,999,T2 only group
PRE_Q15a,1,Agree strongly
PRE_Q15a,2,Agree somewhat
PRE_Q15a,3,Neither agree nor disagree
PRE_Q15a,4,Disagree somewhat
PRE_Q15a,5,Disagree strongly
PRE_Q15a,99,No opinion
PRE_Q15a,998,Skipped
PRE_Q15a,999,T2 only group
PRE_Q15b,1,Agree strongly
PRE_Q15b,2,Agree somewhat
PRE_Q15b,3,Neither agree nor disagree
PRE_Q15b,4,Disagree somewhat
PRE_Q15b,5,Disagree strongly
PRE_Q15b,99,No opinion
PRE_Q15b,998,Skipped
PRE_Q15b,999,T2 only group
PRE_Q16a,1,Favor strongly
PRE_Q16a,2,Favor somewhat
PRE_Q16a,3,Neither favor nor oppose
PRE_Q16a,4,Oppose somewhat
PRE_Q16a,5,Oppose strongly
PRE_Q16a,99,No opinion
PRE_Q16a,998,Skipped
PRE_Q16a,999,T2 only group
PRE_Q16b,1,Favor strongly
PRE_Q16b,2,Favor somewhat
PRE_Q16b,3,Neither favor nor oppose
PRE_Q16b,4,Oppose somewhat
PRE_Q16b,5,Oppose strongly
PRE_Q16b,99,No opinion
PRE_Q16b,998,Skipped
PRE_Q16b,999,T2 only group
PRE_Q16c,1,Favor strongly
PRE_Q16c,2,Favor somewhat
PRE_Q16c,3,Neither favor nor oppose
PRE_Q16c,4,Oppose somewhat
PRE_Q16c,5,Oppose strongly
PRE_Q16c,99,No opinion
PRE_Q16c,998,Skipped
PRE_Q16c,999,T2 only group
PRE_Q16d,1,Favor strongly
PRE_Q16d,2,Favor somewhat
PRE_Q16d,3,Neither favor nor oppose
PRE_Q16d,4,Oppose somewhat
PRE_Q16d,5,Oppose strongly
PRE_Q16d,99,No opinion
