source_column,source_value,value_label
QQ3C,1,agree
QQ3C,2,neither
QQ3C,3,disagree
QQ3D,1,agree
QQ3D,2,neither
QQ3D,3,disagree
QQ3E,1,agree
QQ3E,2,neither
QQ3E,3,disagree
QQ3F,1,agree
QQ3F,2,neither
QQ3F,3,disagree
QQ3G,1,agree
QQ3G,2,neither
QQ3G,3,disagree
QQ4,1,great deal/a lot
QQ4,2,some
QQ4,3,not much/none
QQ4,4,can't say
QQ6A,1,agree
QQ6A,2,neither
QQ6A,3,disagree
QQ6B,1,agree
QQ6B,2,neither
QQ6B,3,disagree
QQ6C,1,agree
QQ6C,2,neither
QQ6C,3,disagree
QQ6D,1,agree
QQ6D,2,neither
QQ6D,3,disagree
QQ6E,1,agree
QQ6E,2,neither
QQ6E,3,disagree
QQ6F,1,agree
QQ6F,2,neither
QQ6F,3,disagree
QQ7A,1,agree
QQ7A,2,neither
QQ7A,3,disagree
QQ7B,1,agree
QQ7B,2,neither
QQ7B,3,disagree
QQ7C,1,agree
QQ7C,2,neither
QQ7C,3,disagree
