source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
biasmat,double,haven_labelled|vctrs_vctr|double,,were the materials biased t2 (ww27),F8.0,,,TRUE,Retained
dopint,double,haven_labelled|vctrs_vctr|double,,how interesting was the d.o.p. t2 (ww28),F8.0,,,TRUE,Retained
answera1,double,haven_labelled|vctrs_vctr|double,,r was correct or not on sopha1,F8.0,,,TRUE,Retained
answera2,double,haven_labelled|vctrs_vctr|double,,r correct or not on sopha2,F8.0,,,TRUE,Retained
answerb1,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophb1,F8.0,,,TRUE,Retained
answerb2,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophb2,F8.0,,,TRUE,Retained
answerc1,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophc1,F8.0,,,TRUE,Retained
answerc2,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophc2,F8.0,,,TRUE,Retained
answerd1,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophd1,F8.0,,,TRUE,Retained
answerd2,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophd2,F8.0,,,TRUE,Retained
answere1,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophe1,F8.0,,,TRUE,Retained
answere2,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophe2,F8.0,,,TRUE,Retained
answerf1,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophf1,F8.0,,,TRUE,Retained
