caseid,source_row,pollgroup,legacy_field,historical_value,approved_value
52056,229,5206,chi.t1att2,0.10000000149011612,0.10000000149011612
52191,230,5213,chi.t1att2,0.20000000298023224,0.20000000298023224
52014,231,5202,chi.t1att2,0.4333333373069763,0.4333333373069763
52240,232,5207,chi.t1att2,0.8333333134651184,0.8333333134651184
52024,233,5209,chi.t1att2,0.20000000298023224,0.20000000298023224
52144,234,5201,chi.t1att2,0.5,0.5
52023,235,5213,chi.t1att2,0.5666666626930237,0.5666666626930237
52015,1,5202,chi.t2att3,0.6333333253860474,0.9333333373069764
52026,2,5205,chi.t2att3,0.5,0.800000011920929
52262,3,5212,chi.t2att3,0.5,0.800000011920929
52040,4,5210,chi.t2att3,0.45000001788139343,0.6333333253860474
52039,5,5211,chi.t2att3,0.4399999976158142,0.7749999761581421
52243,6,5206,chi.t2att3,0.9166666865348816,0.5
52003,7,5202,chi.t2att3,1,0.6666666865348816
52258,8,5215,chi.t2att3,0.3333333432674408,0.8666666746139526
52012,10,5203,chi.t2att3,0,0.15000000596046448
52032,11,5210,chi.t2att3,0.4000000059604645,0.6000000238418579
52021,12,5208,chi.t2att3,0.7666666507720947,0.5333333611488342
52264,13,5215,chi.t2att3,1,0.5833333134651184
52257,14,5202,chi.t2att3,0.5,0.7166666984558105
52247,15,5203,chi.t2att3,1,0.6000000238418579
52042,16,5215,chi.t2att3,0.699999988079071,0.3799999952316284
52249,17,5215,chi.t2att3,0.5833333134651184,0.675000011920929
52263,18,5203,chi.t2att3,0.5,0.4166666567325592
52256,19,5206,chi.t2att3,0.5,0.5833333730697632
52248,20,5205,chi.t2att3,0.3333333432674408,0.3333333432674408
52255,21,5213,chi.t2att3,0.5,0.5
52261,22,5210,chi.t2att3,0.3333333432674408,1
52043,23,5202,chi.t2att3,0.6499999761581421,0.75
52045,24,5203,chi.t2att3,0.7333333492279053,0.6600000262260437
52020,25,5204,chi.t2att3,0.6666666865348816,0.5666666626930237
52034,26,5216,chi.t2att3,0.5,0.5799999833106995
52004,27,5211,chi.t2att3,1,0.5
52016,28,5207,chi.t2att3,0.5,1
52267,29,5205,chi.t2att3,0.5,0.6000000238418579
52005,30,5209,chi.t2att3,0.6499999761581421,0.5
52018,31,5208,chi.t2att3,0.6499999761581421,0.7833333611488342
52027,32,5212,chi.t2att3,0.6666666865348816,0.5
52010,33,5209,chi.t2att3,0.6000000238418579,0.5
52041,34,5207,chi.t2att3,0.6333333253860474,0.5400000214576721
52251,35,5212,chi.t2att3,0.6200000047683716,0.5
52037,36,5212,chi.t2att3,0.6500000357627869,1
52002,37,5210,chi.t2att3,0.44999998807907104,1
52028,38,5210,chi.t2att3,0.5,1
52006,39,5208,chi.t2att3,0.5249999761581421,0.28333333134651184
52017,40,5214,chi.t2att3,0.44999998807907104,0.75
52025,41,5203,chi.t2att3,0.4333333373069763,0.8666666746139526
52033,42,5210,chi.t2att3,1,1
52242,43,5213,chi.t2att3,0.6666666865348816,0
52250,44,5204,chi.t2att3,0.1666666716337204,0
52260,45,5216,chi.t2att3,0.3333333432674408,0.6499999761581421
52009,46,5210,chi.t2att3,0.6499999761581421,1
52019,47,5213,chi.t2att3,0.5,0.5
52035,48,5209,chi.t2att3,0.4000000059604645,0.4000000059604645
52252,49,5211,chi.t2att3,1,0.4166666865348816
52022,50,5202,chi.t2att3,0.7166666984558105,0.8500000238418579
52030,51,5207,chi.t2att3,0.5,0.5
52038,52,5212,chi.t2att3,1,0.5
52253,53,5215,chi.t2att3,0,0.5
52007,54,5209,chi.t2att3,0.5,1
52013,55,5206,chi.t2att3,0.8999999761581421,0.6800000071525574
52001,56,5209,chi.t2att3,0.3333333432674408,0
52008,57,5203,chi.t2att3,1,0.5
