legacy_field,layer,alias_of,evidence
nic1.t2att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att8,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att9,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t1att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t1att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t1att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t1att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t1att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t1att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t2att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t2att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t2att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t2att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t2att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
swp.t2att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t1redist,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t1tax,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t1wage,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t1eu,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t2redist,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t2tax,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t2wage,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukbge.t2eu,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.rootcauset1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.policet1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.punisht1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.procrightst1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.selfprotectt1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.rootcauset2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.policet2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.punisht2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.procrightst2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukcrime.selfprotectt2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.eurelat1g,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.euscope1g,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.commies1r,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.favref1r,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.eurelat2g,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.euscope2g,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.commies2r,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukeu.favref2r,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1payhlt,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1poora,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1option,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1hlthfu,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1ctexpt,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1pritre,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1severi,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1preven,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1dispub,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1avgdis,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t1moresa,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2payhlt,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2poora,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2option,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2hlthfu,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2ctexpt,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2pritre,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2severi,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2preven,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2dispub,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2avgdis,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukhealth.t2moresa,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t1att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t1att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t1att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t1att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t1att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t1att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t2att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t2att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t2att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t2att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t2att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
wtu.t2att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu2009.cc1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu2009.cc2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu2009.imm1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu2009.imm2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nh.t1endexp,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nh.t1manvol,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nh.t1volloc,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nh.t2endexp,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nh.t2manvol,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nh.t2volloc,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1usseca,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1humrh2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1envir,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1inter,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1multi,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1demo,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1forai1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1global,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t1trade_b,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2usseca,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2humrh2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2envir,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2inter,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2multi,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2demo,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2forai1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2global,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic2.t2trade_b,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1usseca,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1humrh2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1envir,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1inter,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1multi,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1demo,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1forai1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1global,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt1trade,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2usseca,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2humrh2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2envir,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2inter,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2multi,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2demo,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2forai1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2global,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp03.olt2trade,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4b42,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4b45,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4b48,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4b51,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4b54,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4b57,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4f42,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4f45,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4f48,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4f51,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4f54,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04.w4f57,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1reform,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1fcvsch,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1mmtaxe,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1stest,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1testsl,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1nclb,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1govinv,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1medqual,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1costcov,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1emplypay,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t1indivpay,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2reform,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2fcvsch,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2mmtaxe,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2stest,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2testsl,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2nclb,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2govinv,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2medqual,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2costcov,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2emplypay,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp05.t2indivpay,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t1more,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t1belowmrkt,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t1openspace,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t1countyl,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t2more,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t2belowmrkt,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t2openspace,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sm.t2countyl,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
dpnum,identifier,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bettered,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
