source_column,source_value,value_label
qf48,4,"disagree somewhat,"
qf48,5,"disagree strongly,"
qf48,6,or haven't you thought much about this?
qf52,-2,not asked
qf52,-1,refused
qf53,-2,not asked
qf53,-1,refused
qf53,1,"a great deal,"
qf53,2,"quite a bit,"
qf53,3,"some,"
qf53,4,"very little, or"
qf53,5,none?
qf59,-2,not asked
qf59,-1,refused
qf59,1,"agree,"
qf59,2,"disagree,"
qf59,3,"do you fall somewhere in between,"
qf59,4,haven't thought much about this
qf60,-2,not asked
qf60,-1,refused
qf60,1,"agree,"
qf60,2,"disagree,"
qf60,3,"do you fall somewhere in between,"
qf60,4,haven't thought much about this
qf61,-2,not asked
qf61,-1,refused
qf61,1,"agree,"
qf61,2,"disagree,"
qf61,3,"do you fall somewhere in between,"
qf61,4,haven't thought much about this
qf62,-2,not asked
qf62,-1,refused
qf62,1,"agree,"
