source_column,source_value,value_label
rdstl2re,1,gov. try to hard to make income more equal (7/7)
rdstl2_a,0,6/7
rdstl2_a,1,gov. try to hard to make income more equal (7/7)
rdstld2c,0,wrong/dk/not ans
rdstld2c,1,correct
rdsld2re,-9,not answered
rdsld2re,-8,don't know
rdsld2re,0,6/7
rdsld2re,1,gov. try to hard to make income more equal (7/7)
rdsld2_a,0,6/7
rdsld2_a,1,gov. try to hard to make income more equal (7/7)
taxr2re,-9,not answered
taxr2re,-8,don't know
taxr2re,0,6/7
taxr2re,1,"gov. spend lot, tax lot (7/7)"
taxr2red,0,6/7
taxr2red,1,"gov. spend lot, tax lot (7/7)"
taxc2cor,0,wrong/dk/not ans
taxc2cor,1,correct
taxc2re,-9,not answered
taxc2re,-8,don't know
taxc2re,0,6/7
taxc2re,1,"gov. spend lot, tax lot (7/7)"
taxc2red,0,6/7
taxc2red,1,"gov. spend lot, tax lot (7/7)"
taxl2cor,0,wrong/dk/not ans
taxl2cor,1,correct
taxl2re,-9,not answered
taxl2re,-8,don't know
taxl2re,0,6/7
taxl2re,1,"gov. spend lot, tax lot (7/7)"
taxl2red,0,6/7
taxl2red,1,"gov. spend lot, tax lot (7/7)"
taxld2co,0,wrong/dk/not ans
taxld2co,1,correct
taxld2re,-9,not answered
taxld2re,-8,don't know
taxld2re,0,6/7
taxld2re,1,"gov. spend lot, tax lot (7/7)"
taxld2_a,0,6/7
taxld2_a,1,"gov. spend lot, tax lot (7/7)"
wger2re,-9,not answered
wger2re,-8,don't know
wger2re,0,6/7
wger2re,1,yes min wage (7/7)
wger2red,0,6/7
wger2red,1,yes min wage (7/7)
wgec2cor,0,wrong/dk/not ans
wgec2cor,1,correct
wgec2re,-9,not answered
wgec2re,-8,don't know
wgec2re,0,6/7
wgec2re,1,yes min wage (7/7)
wgec2red,0,6/7
wgec2red,1,yes min wage (7/7)
wgel2cor,0,wrong/dk/not ans
wgel2cor,1,correct
wgel2re,-9,not answered
wgel2re,-8,don't know
wgel2re,0,6/7
wgel2re,1,yes min wage (7/7)
wgel2red,0,6/7
wgel2red,1,yes min wage (7/7)
wgeld2co,0,wrong/dk/not ans
wgeld2co,1,correct
wgeld2re,-9,not answered
wgeld2re,-8,don't know
wgeld2re,0,6/7
wgeld2re,1,yes min wage (7/7)
wgeld2_a,0,6/7
wgeld2_a,1,yes min wage (7/7)
eur2re,-9,not answered
eur2re,-8,don't know
eur2re,0,6/7
eur2re,1,unite with eu (7/7)
eur2redk,0,6/7
eur2redk,1,unite with eu (7/7)
euc2cor,0,wrong/dk/not ans
euc2cor,1,correct
euc2re,-9,not answered
euc2re,-8,don't know
euc2re,0,6/7
euc2re,1,unite with eu (7/7)
euc2redk,0,6/7
euc2redk,1,unite with eu (7/7)
eul2cor,0,wrong/dk/not ans
eul2cor,1,correct
eul2re,-9,not answered
eul2re,-8,don't know
eul2re,0,6/7
eul2re,1,unite with eu (7/7)
eul2redk,0,6/7
eul2redk,1,unite with eu (7/7)
euld2cor,0,wrong/dk/not ans
euld2cor,1,correct
euld2re,-9,not answered
euld2re,-8,don't know
euld2re,0,6/7
euld2re,1,unite with eu (7/7)
euld2red,0,6/7
euld2red,1,unite with eu (7/7)
eutax2re,-9,not answered
eutax2re,-8,don't know
eutax2re,0,agree somewhat
eutax2re,1,disagree somewhat
eugov2re,-9,not answered
eugov2re,-8,don't know
eugov2re,0,agree somewhat
eugov2re,1,disagree somewhat
eupnd2re,-9,not answered
eupnd2re,-8,don't know
eupnd2re,0,agree somewhat
eupnd2re,1,disagree somewhat
cnrch2re,-9,not answered
cnrch2re,-8,don't know
cnrch2re,0,a little better off
cnrch2re,1,a lot better off
cnpr2re,-9,not answered
cnpr2re,-8,don't know
cnpr2re,0,a little better off
cnpr2re,1,a lot better off
cnwlf2re,-9,not answered
cnwlf2re,-8,don't know
cnwlf2re,0,a little better off
cnwlf2re,1,a lot better off
cnpns2re,-9,not answered
cnpns2re,-8,don't know
cnpns2re,0,a little better off
cnpns2re,1,a lot better off
lbrch2re,-9,not answered
lbrch2re,-8,don't know
lbrch2re,0,a little better off
lbrch2re,1,a lot better off
lbpr2re,-9,not answered
lbpr2re,-8,don't know
lbpr2re,0,a little better off
lbpr2re,1,a lot better off
lbwlf2re,-9,not answered
lbwlf2re,-8,don't know
lbwlf2re,0,a little better off
lbwlf2re,1,a lot better off
lbpns2re,-9,not answered
lbpns2re,-8,don't know
lbpns2re,0,a little better off
lbpns2re,1,a lot better off
vtint2re,-9,not answered/would not vote
vtint2re,-8,don't know
vtint2re,1,conservative party
vtint2re,2,labour party
vtint2re,3,liberal democrats
vtint2re,4,other party
vtsr2re,-8,don't know
vtsr2re,-1,n/a
vtsr2re,0,reasonably sure
vtsr2re,1,absolutely sure
trnt2re,-9,not answered
trnt2re,-8,don't know
trnt2re,0,(6/7)
trnt2re,1,definitely will vote
ukdm2re,-9,not answered
ukdm2re,-8,don't know
ukdm2re,0,"works well, change some"
ukdm2re,1,"works well, no change"
frcn2re,-9,not answered
frcn2re,-8,don't know
frcn2re,0,agree somewhat
frcn2re,1,agree strongly
frlb2re,-9,not answered
frlb2re,-8,don't know
frlb2re,0,agree somewhat
frlb2re,1,agree strongly
ecnld2re,-9,not answered
ecnld2re,-8,don't know
ecnld2re,0,agree somewhat
ecnld2re,1,agree strongly
lstn2re,-9,not answered
lstn2re,-8,don't know
lstn2re,0,agree somewhat
lstn2re,1,agree strongly
grpdscre,-9,not answered
grpdscre,0,somewhat valuable
grpdscre,1,very valuable
tlkngre,-9,not answered
tlkngre,0,somewhat valuable
tlkngre,1,very valuable
xprtsre,-9,not answered
xprtsre,0,somewhat valuable
xprtsre,1,very valuable
polsre,-9,not answered
polsre,0,somewhat valuable
polsre,1,very valuable
mdprtre,-9,not answered
mdprtre,-8,don't know
mdprtre,0,agree somewhat
mdprtre,1,agree strongly
mdinflre,-9,not answered
mdinflre,-8,don't know
mdinflre,0,agree somewhat
mdinflre,1,agree strongly
dopintre,-9,not answered
dopintre,-8,don't know
dopintre,0,quite interesting
dopintre,1,very interesting
vote3re,-9,not answered/would not vote
vote3re,-8,don't know
vote3re,1,conservative party
vote3re,2,labour party
vote3re,3,liberal democrats
vote3re,4,other party
rdstcknc,-1,change from right to wrong
rdstcknc,0,no change
rdstcknc,1,change from wrong to right
rdstlknc,-1,change from right to wrong
rdstlknc,0,no change
rdstlknc,1,change from wrong to right
rdstldkn,-1,change from right to wrong
rdstldkn,0,no change
rdstldkn,1,change from wrong to right
taxcknch,-1,change from right to wrong
taxcknch,0,no change
taxcknch,1,change from wrong to right
taxlknch,-1,change from right to wrong
taxlknch,0,no change
taxlknch,1,change from wrong to right
taxldknc,-1,change from right to wrong
taxldknc,0,no change
taxldknc,1,change from wrong to right
wgecknch,-1,change from right to wrong
wgecknch,0,no change
wgecknch,1,change from wrong to right
wgelknch,-1,change from right to wrong
wgelknch,0,no change
wgelknch,1,change from wrong to right
wgeldknc,-1,change from right to wrong
wgeldknc,0,no change
wgeldknc,1,change from wrong to right
