poll_id,legacy_field,definition_id,respondents,compared_values,missingness_differences,value_differences,max_absolute_difference,tolerance
uk-crime-1994,ukcrime.rootcauset2,root_causes_t2@historical-v1,299,299,0,0,3.3306690738754696e-16,1e-10
uk-crime-1994,ukcrime.policet2,policing_t2@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,ukcrime.punisht2,punishment_t2@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,ukcrime.procrightst2,procedural_restrictions_t2@historical-v1,299,298,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,ukcrime.selfprotectt2,self_protection_t2@historical-v1,299,299,0,0,3.3306690738754696e-16,1e-10
uk-crime-1994,bettered,higher_education@historical-v1,299,299,0,0,0,1e-10
cpl-1996,readbrief,read_briefing@historical-v1,216,0,0,0,0,1e-10
cpl-1996,t1know,knowledge_t1@historical-v1,216,216,0,0,4.440892098500626e-16,1e-10
cpl-1996,t1knowr,knowledge_t1@historical-v1,216,216,0,0,4.440892098500626e-16,1e-10
cpl-1996,t1knowcor,knowledge_joint@historical-v1,216,216,0,0,4.440892098500626e-16,1e-10
cpl-1996,t2know,knowledge_t2@historical-v1,216,216,0,0,4.440892098500626e-16,1e-10
cpl-1996,ppage,age@historical-v1,216,215,0,0,0,1e-10
cpl-1996,educ4,education_four@historical-v1,216,213,0,0,0,1e-10
cpl-1996,minority,minority@historical-v1,216,215,0,0,0,1e-10
cpl-1996,hhincome,household_income@historical-v1,216,198,0,0,0,1e-10
cpl-1996,female,female@historical-v1,216,216,0,0,0,1e-10
cpl-1996,attextreme,attitude_extremity@historical-v1,216,216,0,0,4.996003610813204e-16,1e-10
cpl-1996,highinc,high_income@historical-v1,216,198,0,0,0,1e-10
cpl-1996,t1polint,political_interest_t1@historical-v1,216,0,0,0,0,1e-10
cpl-1996,t1knowcor2,knowledge_joint_midterm@historical-v1,216,0,0,0,0,1e-10
cpl-1996,t12know,knowledge_midterm@historical-v1,216,0,0,0,0,1e-10
cpl-1996,t12knowcor,knowledge_midterm_joint@historical-v1,216,0,0,0,0,1e-10
cpl-1996,attextreme2,attitude_extremity_midterm@historical-v1,216,0,0,0,0,1e-10
