path,bytes,sha256,extension,identical_copies,disclosure_status,publication_status
data/BTP/BTP_Cities/10City/Seattle/Tables/05_pittsburgh1.xls,62976,52763d50a8764de0ac576231f3e1e6e55b56b308b33187dafa6de5f1fc74b77b,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/06_sarasota1.xls,68608,74f7e2abf11385df03cc0f2627eacd80453a70cd3a142908c282ca9fd096b493,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/07_seattle1.xls,68608,66f7c5ad8cbd6ff07dd4124b011d2f65bf6bb4cdf95f8c5ba33a56e7f6e50346,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/08_rochester1.xls,69120,58d6dd2296771118597c7a0cad8c4e1cb046ed07bb41a9ab0d56be346feb9b58,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/09_kansas_city1.xls,68608,1279e67178e0c7ba3ae9cf83edf63ff2da08e19007e4c24dafba4e5841c48d5c,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/10_san_diego1.xls,68608,e650ba0098c2855637942dcc0ca8f9726440dd73f0e43614acceff82871bbd75,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/11_kearney1.xls,68608,5fd7bbe89cff1176ff664487eff2621f4a5b89f574f8b63a285ae2c9f3ff1af5,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/_notes/dwsync.xml,1184,185a52a7f6c565e0ad19ccbb762d1b71f2636de51e3e3f3ed5f4983cc8052c14,xml,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Timetable for availability of data by site.doc,24576,d3880fc364623ad196143902b87bf605afaa5272ff7ac15577226a20a7c28f77,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Turnout in the Ten City DP by Site.doc,50176,de981043b0916948f88c5b013172eae90c49bd7a1c8d9cf2fe79dcf03ac08c4b,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/_notes/dwsync.xml,2694,e1c510d1dd90c77a30eaededa0759bb74230eedbe3d065823696a214864e4658,xml,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/check_list_Jan21.doc,26112,cda1c203e06a5e665c085d5de948cf60a044d90b1e84b51cc9fb2e3ba8d4967c,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/code1.do,985,8b92c9e4a63dc8c9ed45c28f7e8a7d36e9468005633719c19ce6aa0c30da50f4,do,2,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/control_inst_01071.txt,16520,179f312009d2fc867f3173e4196de582e8ab69ce217b8876aecf5577af66765f,txt,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/ctype.doc,37376,e4fbe90f53970489612b676ecf31bb734b3947c5c678a823f5f76817ae4610be,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/participation paragraph/Green Bay.doc,24576,92cc5ce335086926e19ca400305af119e89e63eb4e2724857e8083c2f3c62446,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/participation paragraph/Kansas City.doc,24064,f22c912593a48f4fc5c9cd1fc4fae51a6ebc13ba5ce55998a1f785ffbd068e2c,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/participation paragraph/Sarasota - participation.doc,24576,ff7ab55b0ad6ac5148014d74b4419d704294db6dfb83b3bbd606b92c62a72f25,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/participation paragraph/_notes/dwsync.xml,577,002fbf2ea483e75d597b1ed137a3c50258f9dd1b661ca4204aa2fec0e307ce79,xml,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/participation paragraph/all.doc,24064,fd2421c88065fcf409ffaf662319e65bfd5b76f5878b7e1498c65223e2773435,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/participation paragraph/minneapolis_participation.doc,24576,c51ef46d5eef3b3c2da82ae0c0523c73fa5e749a2e97042f187300a721796020,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/q07_Sarasota.doc,35328,70586b8db2da5003ef9d4a4dd339d8e555de2e66ca12c557fa2eee20f75e9c2a,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/q13.doc,52736,f6c6e1c3b6243daec7a9976490e3410936a0059e0e0b83394e13794a6002fffd,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/selection_Feb02.doc,138752,7db800b6d98899207e575a82500d09a24b87b1c8498392c64ad20e14399bff37,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/selection_Feb02_output.doc,72192,4080de6f637e7a9b4f14e5c6d22fd64d9fa8b0657cecef5f471705d53cf91b16,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/template.xls,50176,583d180522523afbb72188fcf3d84522e87fe9bcfae2464e28102842b3397f65,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/tencitypost-test_src_rev.doc,102912,0ee5317d9908e05d6e4b2e82d0faa20454cc3ada42179d7a22d922f0534d08c0,doc,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/Additional Nebraska questions final 10 07 04.doc,54784,56a5907b14efe7ee28d13f4413539fa1d1ee7937e6908c6304e2a8abe377acb9,doc,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/Additional Nebraska questions with answers.doc,55808,d33fc006337b676442e4c35dcfcb99eec87a3590a636b701e96bf64ad5983533,doc,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/BTP 2004 Survey_Final_0912(revised by Amanda).doc,97792,13fd25d4be4ad0b3e1ecc3a0e339a0029fa8a7fdcd6f856a7c5b849c0529c87c,doc,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/Delibpoll redo.sav,120640,bf4280d7b7fbb5d5cf5f9e2c358c828ebec7b37776a9adc3f21bdba1466534f7,sav,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/Experiment Report (ML version).doc,772096,5429dda4769c66882c91d392136cd363eb3bfe07200856c1926fc4d8d0b00fbc,doc,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/_notes/dwsync.xml,911,064947cef5eebf67da5069951c41d8920b8710f13923a0411d35f9f359857cef,xml,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/final redo.sav,131579,e0b992a39259f64e5de2d6067ca857e7fd603ff5d9bf1773c72a1733eb2366bc,sav,1,review_required,vault_only
data/BTP/BTP_Cities/17City/Lincoln/final working file0718 for analysis purpose.sav,193614,8d3d68e93bc3b39ad4330f37d62645ef4b96e47795aff55f4ad29c9c25166d5e,sav,1,review_required,vault_only
