poll_id,poll_name,n_indices,att_index,t1var,t2_t3var,details
3000,SWEPCO,7,Build Fossil Fuel Plant,swp.t1att7,swp.t2att7,
2000,Greece,6,Alexandris,grk.t1att1,grk.t2att1,
2000,Greece,6,Veloudos,grk.t1att2,grk.t2att2,
2000,Greece,6,Vlachos,grk.t1att3,grk.t2att3,
2000,Greece,6,Diakoliou,grk.t1att4,grk.t2att4,
2000,Greece,6,Karanasou,grk.t1att5,grk.t2att5,
2000,Greece,6,Breyiannis,grk.t1att6,grk.t2att6,
53,Bulgaria,12,Tougher Punishment,bulgaria.bulgaria.t1tghpc,bulgaria.bulgaria.t2tghpc,
53,Bulgaria,12,Civil Liberties,bulgaria.bulgaria.t1clibe,bulgaria.bulgaria.t2clibe,
53,Bulgaria,12,Social Root Causes,bulgaria.bulgaria.t1q8_7,bulgaria.bulgaria.t2q8_7,
53,Bulgaria,12,Economic Root Causes,bulgaria.bulgaria.t1q8_1,bulgaria.bulgaria.t2q8_1,
53,Bulgaria,12,Rehabilitation,bulgaria.bulgaria.t1q8_8,bulgaria.bulgaria.t2q8_8,
53,Bulgaria,12,Streamlining,bulgaria.bulgaria.t1q8_11,bulgaria.bulgaria.t2q8_11,
53,Bulgaria,12,Drug Legalization,bulgaria.bulgaria.t1q10_3,bulgaria.bulgaria.t2q10_3,
53,Bulgaria,12,Penalty for Drug Taking,bulgaria.bulgaria.t1q16,bulgaria.bulgaria.t2q16,
53,Bulgaria,12,Vigilantism,bulgaria.bulgaria.t1q21,bulgaria.bulgaria.t2q21,
53,Bulgaria,12,Institutional Change,bulgaria.bulgaria.t1q22,bulgaria.bulgaria.t2q22,
53,Bulgaria,12,Independence of Investigation Service,bulgaria.bulgaria.t1q23,bulgaria.bulgaria.t2q23,
53,Bulgaria,12,Place of Prosecution,bulgaria.bulgaria.t1q19,bulgaria.bulgaria.t2q19,
52,China,9,Industrial Roads,chi.t1att1,chi.t2att1,
52,China,9,Village Roads,chi.t1att2,chi.t2att2,
52,China,9,Main Roads,chi.t1att3,chi.t2att3,
