caseid,source_row,pollgroup,baseline_police_raw,post_children_raw,post_tv_raw,post_discipline_raw,pre,historical_post,candidate_post,delta
10584,584,2706,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10585,585,2704,4,4,3,3,0.5,0.5833333333333334,0.5833333333333334,0
10587,587,2705,3,4,4,4,0.6666666666666666,0.6666666666666666,0.75,0.08333333333333337
10588,588,2703,3,5,5,5,1,0.8333333333333334,1,0.16666666666666663
10589,589,2714,3,5,3,3,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666663
10591,591,2704,5,4,2,4,0.6666666666666666,0.6666666666666666,0.5833333333333334,-0.08333333333333326
10592,592,2710,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10594,594,2713,1,4,3,4,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.24999999999999994
10595,595,2705,5,NA,4,5,0.6666666666666666,0.9166666666666666,0.875,-0.04166666666666663
10596,596,2706,5,5,5,5,1,1,1,0
10597,597,2720,3,5,4,4,0.75,0.6666666666666666,0.8333333333333334,0.16666666666666674
10599,599,2715,4,4,2,3,0.4166666666666667,0.5,0.5,0
10601,601,2711,4,5,3,4,0.5833333333333334,0.6666666666666666,0.75,0.08333333333333337
10602,602,2703,5,4,3,5,0.75,0.8333333333333334,0.75,-0.08333333333333337
10604,604,2709,5,5,5,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10605,605,2720,5,5,5,5,0.9166666666666666,1,1,0
10616,616,2708,4,4,4,2,0.6666666666666666,0.5833333333333334,0.5833333333333334,0
10623,623,2701,5,5,3,5,0.5,0.8333333333333334,0.8333333333333334,0
10627,627,2717,3,5,4,4,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.16666666666666674
10630,630,2717,4,5,4,4,0.8333333333333334,0.75,0.8333333333333334,0.08333333333333337
10632,632,2719,5,5,5,5,0.9166666666666666,1,1,0
10635,635,2703,4,5,5,5,0.9166666666666666,0.9166666666666666,1,0.08333333333333337
10637,637,2702,3,5,3,4,0.6666666666666666,0.5833333333333334,0.75,0.16666666666666663
10638,638,2720,4,5,4,5,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.08333333333333326
10643,643,2701,5,4,5,5,1,1,0.9166666666666666,-0.08333333333333337
10644,644,2719,4,4,4,5,0.75,0.8333333333333334,0.8333333333333334,0
10650,650,2703,4,4,4,5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0
10670,670,2704,4,4,4,4,0.6666666666666666,0.75,0.75,0
10671,671,2701,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10676,676,2709,4,5,5,4,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10684,684,2716,5,5,5,5,0.8333333333333334,1,1,0
10686,686,2710,5,5,5,3,0.75,0.8333333333333334,0.8333333333333334,0
10692,692,2709,5,5,5,5,1,1,1,0
10695,695,2705,4,5,4,5,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.08333333333333326
10697,697,2712,5,5,5,5,0.8333333333333334,1,1,0
10700,700,2711,2,3,3,5,0.75,0.5833333333333334,0.6666666666666666,0.08333333333333326
10709,709,2720,5,4,4,4,0.8333333333333334,0.8333333333333334,0.75,-0.08333333333333337
