legacy_field,caseid,historical_value,approved_value
nh.t2endexp,910015,0.875,0.875
nh.t2endexp,910038,1,1
nh.t2endexp,910093,0.75,0.75
nh.t2endexp,910030,0.5,0.5
nh.t2endexp,910002,0.375,0.375
nh.t2endexp,910123,1,1
nh.t2endexp,910007,1,1
nh.t2endexp,910033,0.75,0.75
nh.t2endexp,910087,0.875,0.875
nh.t2endexp,910063,0.875,0.875
nh.t2endexp,910084,0.25,0.25
nh.t2endexp,910059,0.875,0.875
nh.t2endexp,910029,0.75,0.75
nh.t2endexp,910075,0.875,0.875
nh.t2endexp,910060,0.25,0.25
nh.t2endexp,910026,1,1
nh.t2endexp,910039,0.75,0.75
nh.t2endexp,910069,0.875,0.875
nh.t2endexp,910006,0.875,0.875
nh.t2endexp,910012,1,1
nh.t2endexp,910043,1,1
nh.t2endexp,910025,0.875,0.875
nh.t2endexp,910097,0.675000011920929,0.625
nh.t2endexp,910071,0.75,0.75
nh.t2endexp,910129,0.75,0.75
nh.t2endexp,910037,0.875,0.875
nh.t2endexp,910032,0.25,0.25
nh.t2endexp,910066,0.25,0.25
nh.t2endexp,910086,1,1
nh.t2endexp,910014,1,1
nh.t2endexp,910103,0.75,0.75
nh.t2endexp,910018,1,1
nh.t2endexp,910070,1,1
nh.t2endexp,910027,0.875,0.875
nh.t2endexp,910017,1,1
nh.t2endexp,910091,1,1
nh.t2endexp,910047,0.675000011920929,0.625
nh.t2endexp,910052,0.675000011920929,0.625
nh.t2endexp,910065,1,1
nh.t2endexp,910019,0.875,0.875
nh.t2endexp,910009,1,1
nh.t2endexp,910118,0.75,0.75
nh.t2endexp,910058,0.125,0.125
nh.t2endexp,910125,0.875,0.875
nh.t2endexp,910082,1,1
nh.t2endexp,910121,1,1
nh.t2endexp,910099,1,1
nh.t2endexp,910116,0.375,0.375
nh.t2endexp,910101,1,1
nh.t2endexp,910113,0.125,0.125
attextreme,910073,0.25,0.25
attextreme,910102,0.25,0.25
attextreme,910036,0.25,0.25
attextreme,910049,0.25,0.25
attextreme,910094,0.0583333373069763,0.0416666679084301
attextreme,910122,0.333333343267441,0.3333333432674408
attextreme,910001,0.25,0.25
attextreme,910127,0.333333343267441,0.3333333432674408
attextreme,910013,0.25,0.25
attextreme,910072,0.16666667163372,0.1666666716337204
attextreme,910068,0.25,0.25
attextreme,910005,0.125,0.125
attextreme,910022,0.20833332836628,0.2083333283662796
attextreme,910117,0.333333343267441,0.3333333432674408
attextreme,910083,0.25,0.25
attextreme,910085,0.25,0.25
attextreme,910041,0.16666667163372,0.1666666716337204
attextreme,910098,0.333333343267441,0.3333333432674408
attextreme,910074,0.16666667163372,0.1666666716337204
attextreme,910016,0.125,0.125
attextreme,910020,0.141666665673256,0.125
attextreme,910120,0.141666665673256,0.125
attextreme,910095,0.25,0.25
attextreme,910105,0.16666667163372,0.1666666716337204
attextreme,910107,0.125,0.125
attextreme,910096,0.16666667163372,0.1666666716337204
attextreme,910035,0.16666667163372,0.1666666716337204
attextreme,910028,0.291666656732559,0.2916666567325592
attextreme,910023,0.25,0.25
attextreme,910044,0.0833333358168602,0.0833333358168602
attextreme,910090,0.20833332836628,0.2083333283662796
attextreme,910100,0.16666667163372,0.1666666716337204
attextreme,910057,0.20833332836628,0.2083333283662796
attextreme,910111,0,0
attextreme,910054,0.25,0.25
attextreme,910056,0.25,0.25
attextreme,910050,0.333333343267441,0.3333333432674408
attextreme,910055,0.291666656732559,0.2916666567325592
attextreme,910131,0.291666656732559,0.2916666567325592
attextreme,910104,0.25,0.25
attextreme,910053,0.25,0.25
attextreme,910048,0.16666667163372,0.1666666716337204
attextreme,910004,0.100000001490116,0.0833333358168602
attextreme,910010,0.20833332836628,0.2083333283662796
attextreme,910008,0.0833333358168602,0.0833333358168602
attextreme,910042,0.16666667163372,0.1666666716337204
attextreme,910126,0.16666667163372,0.1666666716337204
attextreme,910077,0,0
attextreme,910078,0.225000008940697,0.2083333283662796
attextreme,910034,0.16666667163372,0.1666666716337204
attextreme,910067,0.25,0.25
attextreme,910114,0.333333343267441,0.3333333432674408
attextreme,910130,0.266666680574417,0.25
attextreme,910031,0.25,0.25
attextreme,910108,0.25,0.25
attextreme,910132,0.141666665673256,0.125
attextreme,910079,0.0833333358168602,0.0833333358168602
attextreme,910003,0.0416666679084301,0.0416666679084301
attextreme,910040,0.0416666679084301,0.0416666679084301
attextreme,910062,0.333333343267441,0.3333333432674408
attextreme,910045,0,0
attextreme,910119,0.125,0.125
attextreme,910046,0.16666667163372,0.1666666716337204
attextreme,910115,0.0833333358168602,0.0833333358168602
