legacy_field,caseid,historical_value,approved_value
eu.mil_att_11_12_t3,3281,0.48750000000000004,0.3375
eu.free_trade_index_t3,3281,0.5375,0.4875
eu.mil_att_11_12_t3,3493,1,1
eu.free_trade_index_t3,3493,0.6875,0.6875
eu.mil_att_11_12_t3,3541,0.45,0.4625
eu.free_trade_index_t3,3541,0.675,0.775
eu.mil_att_11_12_t3,3305,0.525,0.5375
eu.free_trade_index_t3,3305,0.7375,0.8375
eu.mil_att_11_12_t3,3276,0.5874999999999999,0.6625
eu.free_trade_index_t3,3276,0.7875,0.8375
eu.mil_att_11_12_t3,3277,0.23750000000000004,0.21250000000000002
eu.free_trade_index_t3,3277,0.7375,0.7375
eu.mil_att_11_12_t3,3335,0.8375,0.875
eu.free_trade_index_t3,3335,0.5625,0.3625
eu.mil_att_11_12_t3,1816,0.7,0.65
eu.free_trade_index_t3,1816,0.725,0.775
eu.mil_att_11_12_t3,1830,0.875,0.825
eu.free_trade_index_t3,1830,0.375,0.325
eu.mil_att_11_12_t3,3288,0.4,0.575
eu.free_trade_index_t3,3288,0.675,0.725
eu.mil_att_11_12_t3,3331,0.55,0.5625
eu.free_trade_index_t3,3331,0.7125,0.6625
eu.mil_att_11_12_t3,3469,0.5,0.4375
eu.free_trade_index_t3,3469,0.7,0.65
eu.mil_att_11_12_t3,3445,0.5125,0.4625
eu.free_trade_index_t3,3445,0.275,0.325
eu.mil_att_11_12_t3,3256,0.42500000000000004,0.30000000000000004
eu.free_trade_index_t3,3256,0.6,0.7
eu.mil_att_11_12_t3,3268,0.75,0.7
eu.free_trade_index_t3,3268,0.2,1
eu.mil_att_11_12_t3,1866,0.725,0.6625
eu.free_trade_index_t3,1866,0.4125,0.3125
eu.mil_att_11_12_t3,1833,0.3625,0.275
eu.free_trade_index_t3,1833,0.9375,0.8375
eu.mil_att_11_12_t3,1812,0.7625,0.8
eu.free_trade_index_t3,1812,0.5,0.65
eu.mil_att_11_12_t3,2390,0.45,0.225
eu.free_trade_index_t3,2390,0.3375,0.3875
eu.mil_att_11_12_t3,1889,0.775,0.8125
eu.free_trade_index_t3,1889,0.7,1
eu.mil_att_11_12_t3,2095,0.5,0.5125
eu.free_trade_index_t3,2095,0.675,0.675
eu.mil_att_11_12_t3,2050,0.625,0.625
eu.free_trade_index_t3,2050,0.6875,0.7875
eu.mil_att_11_12_t3,1946,0.5875,0.6125
eu.free_trade_index_t3,1946,0.4375,0.3375
eu.mil_att_11_12_t3,2043,0.4375,0.3875
eu.free_trade_index_t3,2043,0.25,0.5
eu.mil_att_11_12_t3,1998,0.6499999999999999,0.725
eu.free_trade_index_t3,1998,0.725,0.725
eu.mil_att_11_12_t3,2024,0.225,0.1875
eu.free_trade_index_t3,2024,0.225,0.275
eu.mil_att_11_12_t3,1888,0.8125,0.8125
eu.free_trade_index_t3,1888,0.75,0.75
eu.mil_att_11_12_t3,1572,0.7625,0.85
eu.free_trade_index_t3,1572,0.225,0.225
eu.mil_att_11_12_t3,1556,0.4375,0.45
eu.free_trade_index_t3,1556,0.7125,0.5625
eu.mil_att_11_12_t3,1493,0.575,0.3125
eu.free_trade_index_t3,1493,0.5625,0.4125
eu.mil_att_11_12_t3,1500,0.7125,0.625
eu.free_trade_index_t3,1500,0.5375,0.4375
eu.mil_att_11_12_t3,1417,0.4375,0.5125
eu.free_trade_index_t3,1417,0.5625,0.5125
eu.mil_att_11_12_t3,1507,0.5125,0.4875
eu.free_trade_index_t3,1507,0.6125,0.6125
eu.mil_att_11_12_t3,1395,0.6375,0.6875
eu.free_trade_index_t3,1395,0.6125,0.5625
eu.mil_att_11_12_t3,1516,0.725,0.625
eu.free_trade_index_t3,1516,0.8125,0.7125
eu.mil_att_11_12_t3,1518,0.6875,0.6875
eu.free_trade_index_t3,1518,0.45,0
eu.mil_att_11_12_t3,157,0.6375,0.6499999999999999
eu.free_trade_index_t3,157,0.45,0.45
eu.mil_att_11_12_t3,2497,0.35000000000000003,0.2875
eu.free_trade_index_t3,2497,0.625,0.675
eu.mil_att_11_12_t3,2508,0.325,0.3125
eu.free_trade_index_t3,2508,0.8375,0.8375
eu.mil_att_11_12_t3,2529,0.25,0.75
eu.free_trade_index_t3,2529,0.5,0.5
eu.mil_att_11_12_t3,2530,0.6875,0.75
eu.free_trade_index_t3,2530,0.4875,0.4875
eu.mil_att_11_12_t3,2519,0.5375,0.42499999999999993
eu.free_trade_index_t3,2519,0.4875,0.4875
eu.mil_att_11_12_t3,2583,0.2875,0.25
eu.free_trade_index_t3,2583,0.5,0.5
eu.mil_att_11_12_t3,2570,0.5333333333333333,0.5375
eu.free_trade_index_t3,2570,0.775,0.775
eu.mil_att_11_12_t3,2594,0.5625,0.25
eu.free_trade_index_t3,2594,0.75,1
eu.mil_att_11_12_t3,2845,0.5625,0.575
eu.free_trade_index_t3,2845,0.6,0.4
eu.mil_att_11_12_t3,2817,0.475,0.5
eu.free_trade_index_t3,2817,0.6125,0.5625
eu.mil_att_11_12_t3,2828,0.7625,0.575
eu.free_trade_index_t3,2828,0.625,0.725
eu.mil_att_11_12_t3,2862,0.5874999999999999,0.4625
eu.free_trade_index_t3,2862,0.4875,0.4375
eu.mil_att_11_12_t3,184,0.3333333333333333,0.5
eu.free_trade_index_t3,184,0.5,0.5
eu.mil_att_11_12_t3,171,0.47500000000000003,0.6
eu.free_trade_index_t3,171,0.0625,0.2125
eu.mil_att_11_12_t3,223,0.25,0.32499999999999996
eu.free_trade_index_t3,223,0.5875,0.2875
eu.mil_att_11_12_t3,2857,0.23750000000000002,0.36250000000000004
eu.free_trade_index_t3,2857,0.625,0.825
eu.mil_att_11_12_t3,2809,0.575,0.6125
eu.free_trade_index_t3,2809,0.6,0.5
eu.mil_att_11_12_t3,2844,0.5,0.5
eu.free_trade_index_t3,2844,0.3875,0.4875
eu.mil_att_11_12_t3,2852,0.425,0.425
eu.free_trade_index_t3,2852,0.5,0.55
eu.mil_att_11_12_t3,2821,0.3,0.125
eu.free_trade_index_t3,2821,0.7125,0.5125
eu.mil_att_11_12_t3,2880,0.375,0.375
eu.free_trade_index_t3,2880,0.5625,0.8125
eu.mil_att_11_12_t3,2832,0.1625,0.5
eu.free_trade_index_t3,2832,,0.5
eu.mil_att_11_12_t3,1310,0.7,0.6875
eu.free_trade_index_t3,1310,0.1625,0.1125
eu.mil_att_11_12_t3,1520,0.4125,0.4625
eu.free_trade_index_t3,1520,0.5,
eu.mil_att_11_12_t3,1450,0.375,0.375
eu.free_trade_index_t3,1450,0.5,0.6
eu.mil_att_11_12_t3,1432,0.8125,0.8125
eu.free_trade_index_t3,1432,0.4875,0.5375
eu.mil_att_11_12_t3,1340,0.5625,0.5625
eu.free_trade_index_t3,1340,0.5,0.45
eu.mil_att_11_12_t3,1491,0.6125,0.6625
eu.free_trade_index_t3,1491,0.4875,0.4875
eu.mil_att_11_12_t3,1605,0.875,0.875
eu.free_trade_index_t3,1605,0.8125,0.5625
eu.mil_att_11_12_t3,1485,0.8,0.7625
eu.free_trade_index_t3,1485,0.4375,0.4375
eu.mil_att_11_12_t3,1587,0.4,0.3625
eu.free_trade_index_t3,1587,0.725,0.775
eu.mil_att_11_12_t3,1383,0.55,0.35
eu.free_trade_index_t3,1383,0.775,0.775
eu.mil_att_11_12_t3,1576,0.65,0.6375
eu.free_trade_index_t3,1576,0.6,0.6
eu.mil_att_11_12_t3,161,0.6499999999999999,0.5
