source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
t1rdis_i,double,numeric,float64,t1 r's distance from q26 group mean,%9.0g,,,TRUE,Retained
t1rdis_j,double,numeric,float64,t1 r's distance from q28 group mean,%9.0g,,,TRUE,Retained
t1rdis_k,double,numeric,float64,t1 r's distance from q29 group mean,%9.0g,,,TRUE,Retained
t1q24sum,double,numeric,float64,t1 sum for q24,%8.0g,,,TRUE,Retained
t1q25sum,double,numeric,float64,t1 sum for q25,%8.0g,,,TRUE,Retained
t1q26sum,double,numeric,float64,t1 sum for q26,%8.0g,,,TRUE,Retained
t1q28sum,double,numeric,float64,t1 sum for q28,%8.0g,,,TRUE,Retained
t1q29sum,double,numeric,float64,t1 sum for q29,%8.0g,,,TRUE,Retained
t1q24n,double,numeric,float64,t1 n for q24,%8.0g,,,TRUE,Retained
t1q25n,double,numeric,float64,t1 n for q25,%8.0g,,,TRUE,Retained
t1q26n,double,numeric,float64,t1 n for q26,%8.0g,,,TRUE,Retained
t1q28n,double,numeric,float64,t1 n for q28,%8.0g,,,TRUE,Retained
t1q29n,double,numeric,float64,t1 n for q29,%8.0g,,,TRUE,Retained
t1q24rdf,double,numeric,float64,t1 q24 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q25rdf,double,numeric,float64,t1 q25 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q26rdf,double,numeric,float64,t1 q26 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q28rdf,double,numeric,float64,t1 q28 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q29rdf,double,numeric,float64,t1 q29 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
top10ind,double,numeric,float64,"t2-t1 mean for top 10 projects --- 35, 30, 6,34, 33, 26, 27, 28, 29, 21",%9.0g,,,TRUE,Retained
d3043cor,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3044cor,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3045cor,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3046cor,double,numeric,float64,,%8.0g,,,TRUE,Retained
filter,double,numeric,float64,,%8.0g,,,TRUE,Retained
filter2,double,numeric,float64,,%8.0g,,,TRUE,Retained
both,double,numeric,float64,,%8.0g,,,TRUE,Retained
preandpost,double,haven_labelled|vctrs_vctr|double,float64,both=1 (filter),%8.0g,,,TRUE,Retained
eindex,double,numeric,float64,"environmental index (33, 34, 35, 30, 27, 21, 20)",%9.0g,,,TRUE,Retained
d2006bmi,double,numeric,float64,t1 wenchang main ave -- on a 0 to 10 scale midpt version,%9.0g,,,TRUE,Retained
d2007b,double,numeric,float64,q7: first stage of muchang main road t1 o version,%8.0g,,,TRUE,Retained
d2008b,double,numeric,float64,q8: bridge t1 o version,%8.0g,,,TRUE,Retained
d2009b,double,numeric,float64,q9: fuxin road (east end) t1 o version,%8.0g,,,TRUE,Retained
d2010b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2011b,double,numeric,float64,q11: dongcheng road (second stage) t1 o verison,%8.0g,,,TRUE,Retained
d2012b,double,numeric,float64,q12: shuangchen road (first gate) t1 o version,%8.0g,,,TRUE,Retained
d2013b,double,numeric,float64,q13: shuangchen road (second stage) t1 o version,%8.0g,,,TRUE,Retained
d2014b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2015b,double,numeric,float64,q15: reconstruction for donghe road t1 o version,%8.0g,,,TRUE,Retained
d2016b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2017b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2018b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2019b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2020b,double,numeric,float64,q20: air compressor industrial zone matching environmental constructions t1 o ve,%8.0g,,,TRUE,Retained
d2021b,double,numeric,float64,q21: auxiliary environmental construction for muyu/lianshu industrial zone t1 o,%8.0g,,,TRUE,Retained
d2022b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2023b,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2024b,double,numeric,float64,q24: wenchang park (first stage) t1 o version,%8.0g,,,TRUE,Retained
d2025b,double,numeric,float64,q25: wenchang park (second stage) t1 o version,%8.0g,,,TRUE,Retained
d2026b,double,numeric,float64,q26: citizen park (first stage) t1 o version,%8.0g,,,TRUE,Retained
d2027b,double,numeric,float64,q27: urban environmental constructions t1 o version,%8.0g,,,TRUE,Retained
d2028b,double,numeric,float64,q28: danyan hill park t1 o version,%8.0g,,,TRUE,Retained
d2029b,double,numeric,float64,q29: muyu hill park t1 o version,%8.0g,,,TRUE,Retained
d2030b,double,numeric,float64,q30: urban and countryside environmental projects t1 o version,%8.0g,,,TRUE,Retained
d2031b,double,numeric,float64,q31: demonstrative street t1 o version,%8.0g,,,TRUE,Retained
d2032b,double,numeric,float64,q32: old street reconstruction t1 o version,%8.0g,,,TRUE,Retained
d2033b,double,numeric,float64,q33: muyu environmental project (sewage disposal) t1 o version,%8.0g,,,TRUE,Retained
d2034b,double,numeric,float64,q34: danyan environmental project (sewage disposal) t1 o version,%8.0g,,,TRUE,Retained
d2035b,double,numeric,float64,"q35: treatment of  sewage, earlier stage t1 o version",%8.0g,,,TRUE,Retained
d2006a,double,numeric,float64,t2 wenchang main ave -- on a 0 to 10 scale midpt version,%9.0g,,,TRUE,Retained
d2007a,double,numeric,float64,q7: first stage of muchang main road t2 o version,%8.0g,,,TRUE,Retained
d2008a,double,numeric,float64,q8: bridge t2 o version,%8.0g,,,TRUE,Retained
d2009a,double,numeric,float64,q9: fuxin road (east end) t2 o version,%8.0g,,,TRUE,Retained
d2010a,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2011a,double,numeric,float64,q11: dongcheng road (second stage) t2 o verison,%8.0g,,,TRUE,Retained
d2012a,double,numeric,float64,q12: shuangchen road (first gate) t2 o version,%8.0g,,,TRUE,Retained
